method,params,P_exact,P_more,P_full,U_nominal_acc,U_ordinal_mae,SD_nominal_acc,SD_ordinal_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},0.895139275971541,0.9056791854629719,0.8420791258398201,,,,,0.0,0.0,,
presidio,{},0.7934746160776729,0.8122247225917191,0.6869911877511305,0.9511041009463722,1.7897567700435748,0.9652996845425867,1.9511457657694924,0.061723383020151304,0.08740904424280774,1.0,0.1
spacy,{},0.4127083242545698,0.510929294866203,0.37895097412558837,0.5615141955835962,1.9316192281473623,0.36514195583596215,2.169483480582513,0.10353015452529353,0.21621913305404433,1.0,0.11
manual,{},0.3083132253643625,0.35370033463963163,0.22033765286493362,0.5283911671924291,1.9315536018038086,0.3659305993690852,3.001008823665024,0.08263706512255624,0.1892420293686894,1.0,0.0
baroud,{'lambda': 0.9},0.8661026830202371,0.8910784776304875,0.8145591611971809,0.8738170347003155,1.7056357912752982,0.9116719242902208,2.247949275315282,0.0709840180557985,0.11976885283218949,0.8584017821956487,0.0
baroud,{'lambda': 0.5},0.8452105848026924,0.8890544744082952,0.8238782762339687,0.7176656151419558,1.7371389694573964,0.8848580441640379,2.5995097968877983,0.07992687976510743,0.15896782208504362,0.9843963672377375,0.0
petre_shap,{'k': 2},0.6555877965539134,0.6871778075002234,0.324948057892898,0.9029968454258676,2.0691912807519723,0.8588328075709779,1.8917814927554977,0.11398589578148695,0.3330644553968659,0.39487251250401867,33.11
petre_shap,{'k': 3},0.6062169485960152,0.6258222975911361,0.2155042495204464,0.8722397476340694,2.0729480313384063,0.8280757097791798,1.8835970461773086,0.12792607756443203,0.39215348657181676,0.4431404979717001,33.11
petre_shap,{'k': 5},0.5149584669296912,0.5384227417663834,0.1274774015792363,0.8564668769716088,2.094877318733281,0.7862776025236593,1.8908295228035252,0.14613603896899177,0.47219771530853044,0.47264525962851384,33.11
petre_shap,{'k': 7},0.46148876110151726,0.48732209809684224,0.08948883516113071,0.8493690851735016,2.0499996744609095,0.7673501577287066,1.890746576903114,0.15596335806681155,0.5142674312035536,0.4891712861764025,33.11
petre_shap,{'k': 10},0.40988318789615824,0.38997403933146063,0.06316693358809522,0.832807570977918,2.081433713649259,0.7413249211356467,1.8796244379599698,0.1648827590494878,0.5516871782748707,0.5034485188253002,33.11
