method,params,P_exact,P_more,P_full,U_nominal_acc,U_ordinal_mae,SD_nominal_acc,SD_ordinal_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},0.895139275971541,0.9056791854629719,0.8420791258398201,,,,,0.0,0.0,,
dpmlm_shap,"{'rho': 0.9, 'epsilon': 10}",0.7269839991469417,0.675708726792396,0.5202218008475151,0.9589905362776026,1.8395264015704522,0.9526813880126183,1.9085233227325857,0.07198392992328018,0.10505494230929233,0.0712487787625173,39.65
dpmlm_shap,"{'rho': 0.9, 'epsilon': 25}",0.7379660783940281,0.6846855835161834,0.5479297399302256,0.944794952681388,1.7794256430927993,0.9511041009463722,1.9139371011071828,0.07167391836267165,0.10464006982015134,0.07109117915712225,59.71
dpmlm_shap,"{'rho': 0.9, 'epsilon': 50}",0.7304568411026374,0.6870723306188404,0.5426869099938266,0.9739747634069401,1.8935562575703244,0.9511041009463722,1.9282342698561725,0.07103482184914009,0.1031469787802982,0.07008497157523146,70.54
dpmlm_shap,"{'rho': 0.9, 'epsilon': 100}",0.7229082138247218,0.7098287448446619,0.5473690950289991,0.9605678233438486,1.7456106491883552,0.9503154574132492,1.9202704293913122,0.07009945043630028,0.10153454109697312,0.06812178109848717,41.51
dpmlm_shap,"{'rho': 0.9, 'epsilon': 250}",0.7416935327276055,0.7234023703920318,0.5755092187415158,0.9621451104100947,1.8796441229798977,0.9487381703470031,1.931498434695972,0.0691890947356209,0.09958314782813521,0.06469289972417003,41.51
dpmlm_shap,"{'rho': 0.8, 'epsilon': 10}",0.6164468817646553,0.6067818522808247,0.41348624200959405,0.944006309148265,1.7270600216285787,0.9305993690851735,1.8644528534828868,0.0872607173321751,0.13212095306780813,0.16021571622214653,39.65
dpmlm_shap,"{'rho': 0.8, 'epsilon': 25}",0.620323997209142,0.595333537755364,0.42385722470663834,0.9463722397476341,1.8815678151800816,0.9274447949526814,1.8791852971658878,0.08598675552978877,0.130248195459414,0.15947529446829437,59.71
dpmlm_shap,"{'rho': 0.8, 'epsilon': 50}",0.6422086133926768,0.5978429150913818,0.4512632909434451,0.9463722397476341,1.8883183023414452,0.9250788643533123,1.9135999087592421,0.08325636203544749,0.12406518072924028,0.1544392917581038,70.54
dpmlm_shap,"{'rho': 0.8, 'epsilon': 100}",0.6366705446523718,0.6285090864463139,0.47744159223232824,0.9495268138801262,1.8410984142705635,0.9353312302839116,1.9237691988954748,0.08024330954258374,0.1178286235650255,0.14639345686536281,41.51
dpmlm_shap,"{'rho': 0.8, 'epsilon': 250}",0.6781294275419598,0.6870407921467212,0.5184064754268443,0.9534700315457413,1.794388580424255,0.9353312302839116,1.9458675506823755,0.07742123625443936,0.11210287113200978,0.13536609568115007,41.51
dpmlm_shap,"{'rho': 0.7, 'epsilon': 10}",0.4661806556901144,0.45566805930942117,0.29142476870732165,0.9077287066246057,1.8377018348543852,0.8990536277602523,1.832689087617884,0.10397848383485331,0.16434402307877405,0.25559289064830487,39.65
dpmlm_shap,"{'rho': 0.7, 'epsilon': 25}",0.5096381145530122,0.4799259117198131,0.32976428843370176,0.889589905362776,1.8264588846939829,0.8966876971608833,1.8433332898252024,0.10113817754228033,0.15887231980259486,0.25361874506363796,59.71
