method,params,P_exact,P_more,P_full,U_nominal_acc,U_ordinal_mae,SD_nominal_acc,SD_ordinal_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},0.895139275971541,0.9056791854629719,0.8420791258398201,,,,,0.0,0.0,,
dpmlm_shap,"{'lambda': 0.9, 'epsilon': 10}",0.7588710433423596,0.7996521961040154,0.6707310872400052,0.7839116719242902,1.7944055663912806,0.8414826498422713,2.085532118857039,0.08286779841602036,0.1655595904269053,0.027180180815334364,1.14
dpmlm_shap,"{'lambda': 0.9, 'epsilon': 25}",0.7655555038952625,0.8032119509975868,0.6797628783772531,0.8462145110410094,1.6850211896555491,0.8564668769716088,2.103025665380868,0.07880461892871074,0.15459915102468305,0.025477511501489438,1.13
dpmlm_shap,"{'lambda': 0.9, 'epsilon': 50}",0.770487340758743,0.7919341834274584,0.6817261529112469,0.862776025236593,1.8896702583786003,0.8738170347003155,2.115737408804526,0.07560830645568739,0.14426317181120912,0.023064772164077284,1.13
dpmlm_shap,"{'lambda': 0.9, 'epsilon': 100}",0.7662243105156491,0.7983718671333293,0.6894215015901244,0.8777602523659306,1.9149751581906131,0.888801261829653,2.121055567125964,0.07400575204978606,0.13845003008466414,0.021682306076541147,1.56
dpmlm_shap,"{'lambda': 0.9, 'epsilon': 250}",0.7626079888115884,0.7889800276065199,0.6728262626268785,0.8848580441640379,1.8855133578822547,0.8919558359621451,2.1056531078943435,0.07283671722051097,0.13384883439503256,0.02039259134875838,1.13
dpmlm_shap,"{'lambda': 0.5, 'epsilon': 10}",0.7530014615100306,0.7832959122895334,0.6668642787222107,0.6703470031545742,1.802513317411663,0.805205047318612,2.1652932236568185,0.08848005937477016,0.1878175056225118,0.03410881024139752,1.14
dpmlm_shap,"{'lambda': 0.5, 'epsilon': 25}",0.7554415636306997,0.7846616674436232,0.6697771788235531,0.750788643533123,1.7690946357948334,0.8280757097791798,2.145470710585923,0.083417529422402,0.1721686434576564,0.03204584905906549,1.13
dpmlm_shap,"{'lambda': 0.5, 'epsilon': 50}",0.7475461615329,0.7865318502229736,0.6677774275867018,0.8359621451104101,1.7836155555463666,0.8470031545741324,2.1829441727556746,0.07953592627206435,0.1587259768499561,0.02917878112431245,1.13
dpmlm_shap,"{'lambda': 0.5, 'epsilon': 100}",0.7537057493151297,0.7818562419986627,0.679732341450886,0.8556782334384858,1.700789938586545,0.861198738170347,2.1831518178364604,0.0775674874850252,0.15154906698393897,0.027516421904691293,1.56
dpmlm_shap,"{'lambda': 0.5, 'epsilon': 250}",0.7591351767948513,0.7728589184790681,0.6686150602157243,0.8730283911671924,1.7339506099300317,0.8730283911671924,2.157696523032105,0.07613872033940505,0.14615952122474696,0.02598917411838307,1.13
dpmlm_shap,{'epsilon': 10},0.045145509266417555,0.04252724346331907,0.013583758121000647,0.32965299684542587,2.0344120451577625,0.20110410094637224,2.721727656011533,0.2751567855900394,0.6190431167838701,0.9892405969625748,64.79
dpmlm_shap,{'epsilon': 25},0.07978636915968165,0.08425922549253231,0.03331790633052767,0.41719242902208203,1.9859158665817935,0.3785488958990536,1.9329612316781772,0.22883185401135814,0.382657522435538,0.9223521857264574,48.12
dpmlm_shap,{'epsilon': 50},0.1663259311505946,0.2360322599533456,0.1092060756835794,0.6159305993690851,1.9150231290067308,0.580441640378549,1.9184051565010398,0.1959424953355398,0.2826778620998566,0.8282377911310311,35.18
dpmlm_shap,{'epsilon': 100},0.230256944273761,0.30161263026535096,0.1590784266847913,0.7815457413249212,1.761365940003153,0.6884858044164038,1.926609597440674,0.17961916637721498,0.23738329354614865,0.7594249822487005,82.54
dpmlm_shap,{'epsilon': 250},0.2707320134054596,0.42390080855277223,0.2155791235942934,0.8343848580441641,1.7809838119131491,0.749211356466877,1.9440199583533473,0.16888292472257224,0.2107405382493505,0.7026914347197628,46.87
