method,params,P_exact,P_more,P_full,U_nominal_acc,U_ordinal_mae,SD_nominal_acc,SD_ordinal_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},0.895139275971541,0.9056791854629719,0.8420791258398201,,,,,0.0,0.0,,
dpmlm_uniform,{'epsilon': 10},0.04527847070241319,0.04981333280948282,0.015989332377936094,0.32965299684542587,1.8650822510216545,0.1719242902208202,3.1609010881398825,0.28703116322353434,0.6587179436433579,1.0,77.84
dpmlm_uniform,{'epsilon': 25},0.1122403271749159,0.20196558881741566,0.10482310918178324,0.5583596214511041,1.7510870332859876,0.5520504731861199,1.9538200043131948,0.21569804433580453,0.2901051376332244,0.9970015824012793,87.89
dpmlm_uniform,{'epsilon': 50},0.5058442317972698,0.565228809753404,0.3924987681724817,0.8974763406940063,1.7597390818969814,0.8730283911671924,1.606104384843319,0.16314426661477857,0.16339138954031732,0.8782382050724704,79.51
dpmlm_uniform,{'epsilon': 100},0.5481004936554479,0.5804599420463659,0.41546242914772336,0.9463722397476341,1.7779512675942384,0.9148264984227129,1.617629049403433,0.15098449554917187,0.1449348102044608,0.8099875904700106,42.33
dpmlm_uniform,{'epsilon': 250},0.5861181796311429,0.6231032968285753,0.46290792004007175,0.9282334384858044,1.6707240874557618,0.9250788643533123,1.6420605236503842,0.14629313077084274,0.1394264994641584,0.7749397875770461,82.92
dpmlm_shap,{'epsilon': 10},0.045145509266417555,0.04252724346331907,0.013583758121000647,0.32965299684542587,2.0344120451577625,0.20110410094637224,2.721727656011533,0.2751567855900394,0.6190431167838701,0.9892405969625748,64.79
dpmlm_shap,{'epsilon': 25},0.07978636915968165,0.08425922549253231,0.03331790633052767,0.41719242902208203,1.9859158665817935,0.3785488958990536,1.9329612316781772,0.22883185401135814,0.382657522435538,0.9223521857264574,48.12
dpmlm_shap,{'epsilon': 50},0.1663259311505946,0.2360322599533456,0.1092060756835794,0.6159305993690851,1.9150231290067308,0.580441640378549,1.9184051565010398,0.1959424953355398,0.2826778620998566,0.8282377911310311,35.18
dpmlm_shap,{'epsilon': 100},0.230256944273761,0.30161263026535096,0.1590784266847913,0.7815457413249212,1.761365940003153,0.6884858044164038,1.926609597440674,0.17961916637721498,0.23738329354614865,0.7594249822487005,82.54
dpmlm_shap,{'epsilon': 250},0.2707320134054596,0.42390080855277223,0.2155791235942934,0.8343848580441641,1.7809838119131491,0.749211356466877,1.9440199583533473,0.16888292472257224,0.2107405382493505,0.7026914347197628,46.87
dpmlm_shap_no_presidio,{'epsilon': 10},0.038523509869214656,0.05018261061186923,0.01677879343995108,0.32965299684542587,2.125531837524612,0.1971608832807571,2.731006078695698,0.27528661465983284,0.6214586578967631,0.9891888420541565,45.28
dpmlm_shap_no_presidio,{'epsilon': 25},0.07067826776245678,0.07911592138729884,0.024140994363936526,0.4313880126182965,1.9522318720545784,0.3627760252365931,1.9381694276515575,0.22890477784988633,0.3824846026625731,0.9225784302859912,56.18
dpmlm_shap_no_presidio,{'epsilon': 50},0.15043910314231035,0.20066487989768916,0.10386621481584257,0.5954258675078864,1.7576339839331037,0.5670347003154574,1.8843790975852948,0.1958670346330769,0.2815588343336191,0.8280767865945663,80.0
dpmlm_shap_no_presidio,{'epsilon': 100},0.22755600562646805,0.3014877666388239,0.1686963836894041,0.7626182965299685,1.9448531849207222,0.6837539432176656,1.9637907538733643,0.17942965745173795,0.23762869901884617,0.7581167502081005,43.01
dpmlm_shap_no_presidio,{'epsilon': 250},0.30738183448152095,0.3738375935235151,0.19909688531660202,0.8272870662460567,1.755162046809387,0.7586750788643533,1.963342853617394,0.1688222863978768,0.21017741277954932,0.7023511375839809,55.03
