method,params,P_exact,P_more,P_full,U_nominal_acc,U_ordinal_mae,SD_nominal_acc,SD_ordinal_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},0.895139275971541,0.9056791854629719,0.8420791258398201,,,,,0.0,0.0,,
dpmlm_shap,"{'k': 2, 'epsilon': 10}",0.6624652142821468,0.7043069623117542,0.366048076629448,0.9282334384858044,1.9560839239429963,0.8990536277602523,1.8672601328017224,0.0873937413613503,0.13867548821429349,0.17134980867212274,40.49
dpmlm_shap,"{'k': 2, 'epsilon': 25}",0.6623161405206587,0.7082843669218921,0.3546440200873524,0.9077287066246057,1.8889747290778967,0.8943217665615142,1.8441146372420771,0.08732435046122278,0.13388990321746008,0.18222610753040036,33.4
dpmlm_shap,"{'k': 2, 'epsilon': 50}",0.6525198832427186,0.7130920054857054,0.36069708040491033,0.917192429022082,1.826235447695392,0.8935331230283912,1.879576502004967,0.08900539624014112,0.12754921330732502,0.20392191357336728,33.9
dpmlm_shap,"{'k': 2, 'epsilon': 100}",0.6644835842539824,0.7478640176798331,0.368374976853927,0.9037854889589906,1.7631292889814543,0.8974763406940063,1.9154800579232374,0.0907962449153515,0.12653992893850013,0.22119924788140952,53.08
dpmlm_shap,"{'k': 2, 'epsilon': 250}",0.6716503872922668,0.725950563679765,0.384528207609579,0.9345425867507886,1.7885878173214451,0.9100946372239748,1.9245235325720673,0.0919399942603397,0.12323082877728465,0.22640127857675132,36.7
dpmlm_shap,"{'k': 3, 'epsilon': 10}",0.5726533257036912,0.6323909518130666,0.2457841014741685,0.9093059936908517,1.6561096798851687,0.8738170347003155,1.8641885915519785,0.09615221657211472,0.15642294093778455,0.22030382057939638,40.49
dpmlm_shap,"{'k': 3, 'epsilon': 25}",0.6000604189250179,0.6157149721871434,0.24320539610647013,0.8935331230283912,1.8408257905116863,0.8746056782334385,1.8337061299866677,0.0976961709629474,0.1517745117518804,0.24172981155118312,33.4
dpmlm_shap,"{'k': 3, 'epsilon': 50}",0.6115826742835624,0.6523711473171142,0.2682739817649535,0.8974763406940063,1.707877862370449,0.8761829652996845,1.8493418910450419,0.09771000709067383,0.14060675766471809,0.26270996568257987,33.9
dpmlm_shap,"{'k': 3, 'epsilon': 100}",0.6134190791592243,0.7019322591496496,0.2844183470639638,0.8769716088328076,1.7613044769672097,0.8848580441640379,1.9000049489661734,0.0994257127825018,0.136516690230708,0.2792774036470696,53.08
dpmlm_shap,"{'k': 3, 'epsilon': 250}",0.5951828180653757,0.6698763229598551,0.2963542867457926,0.88801261829653,1.8319329214004285,0.8919558359621451,1.9126431538670687,0.1006208070163095,0.13371970067358918,0.2853625352214728,36.7
dpmlm_shap,"{'k': 5, 'epsilon': 10}",0.5112369781830982,0.5294586775642303,0.1472011744185048,0.88801261829653,2.012695865125377,0.8501577287066246,1.858187798768773,0.10608040825801693,0.1771636758152431,0.2725988773518013,40.49
dpmlm_shap,"{'k': 5, 'epsilon': 25}",0.510964603328508,0.518107461587507,0.15540494514887665,0.8761829652996845,1.8532860966265774,0.8414826498422713,1.8271816424632386,0.10748609402202282,0.16931198351672772,0.2979690387406694,33.4
dpmlm_shap,"{'k': 5, 'epsilon': 50}",0.5574243822446732,0.5568060096259925,0.19251669747290917,0.8753943217665615,1.7831072967466075,0.8564668769716088,1.8651884697727685,0.10797444705143336,0.154689251318903,0.3272647384029769,33.9
dpmlm_shap,"{'k': 5, 'epsilon': 100}",0.5627415314368521,0.6128679969255106,0.21099337184087857,0.8675078864353313,1.8097989140745734,0.8722397476340694,1.8975978403667948,0.10904493495492905,0.14866439697306238,0.34095256580543426,53.08
dpmlm_shap,"{'k': 5, 'epsilon': 250}",0.5531636553558389,0.635361887264317,0.23986287251628316,0.8730283911671924,1.7433596952860095,0.8777602523659306,1.9415367453580779,0.11002879432323227,0.14425768646814094,0.3467433705540411,36.7
dpmlm_shap,"{'k': 7, 'epsilon': 10}",0.4740205824077981,0.4480770739488931,0.10849745813783819,0.8706624605678234,1.8037027300353063,0.832807570977918,1.871467678738782,0.11309277423736801,0.19317779302220991,0.30458609290017485,40.49
dpmlm_shap,"{'k': 7, 'epsilon': 25}",0.4697879384641275,0.43282996390992956,0.11384863881261033,0.8588328075709779,1.9436622875613547,0.8257097791798107,1.8084490879815442,0.11366036712935294,0.18036243509889024,0.33154578109610156,33.4
dpmlm_shap,"{'k': 7, 'epsilon': 50}",0.5441790799147755,0.49323270628890986,0.1709408228858301,0.8722397476340694,1.8437328122269423,0.8430599369085173,1.8561281583718279,0.11365018733292348,0.16222850158105515,0.3617994285716192,33.9
dpmlm_shap,"{'k': 7, 'epsilon': 100}",0.5111712096799004,0.5708883886073196,0.17934351039409835,0.8682965299684543,1.904862511638728,0.8588328075709779,1.9007098268753755,0.11463865445051283,0.15553049914750391,0.37577445969243156,53.08
dpmlm_shap,"{'k': 7, 'epsilon': 250}",0.5173085213702663,0.5797188426448945,0.2125273074219189,0.8753943217665615,1.7776280132742426,0.8698738170347003,1.9479328285671615,0.11499582122929089,0.15014833792433002,0.37964083977559604,36.7
dpmlm_shap,"{'k': 10, 'epsilon': 10}",0.43526129449495055,0.3648843480396317,0.08024111516474867,0.8690851735015773,1.9804839965144234,0.8209779179810726,1.8676545298060492,0.1192642696178298,0.20636893613763413,0.3341037884817362,40.49
dpmlm_shap,"{'k': 10, 'epsilon': 25}",0.4207257879851286,0.3337395093076638,0.0851950369078577,0.8493690851735016,1.9038624459215534,0.8123028391167192,1.8060688131652751,0.11890780968056869,0.18985754155116127,0.35981216100395186,33.4
