method,params,P_exact,P_more,P_full,U_nominal_raw,U_ordinal_raw,SD_nominal_raw,SD_ordinal_raw,D_bertscore,D_cosine,D_pp,divergence__count,privacy__exact_count,privacy__full_count,privacy__more_count,privacy_exact_accuracy,privacy_full_accuracy,privacy_more_accuracy,supervised_divergence__label_count,supervised_divergence__utility_nominal_raw_count,supervised_divergence__utility_nominal_score_count,supervised_divergence__utility_score_count,supervised_divergence_label_acc,supervised_divergence_label_baseline_acc,supervised_divergence_label_dummy_acc,supervised_divergence_label_dummy_strategy,supervised_divergence_label_f1,supervised_divergence_label_macro_f1,supervised_divergence_label_racc,supervised_divergence_label_score,supervised_divergence_utility_dummy_strategy,supervised_divergence_utility_nominal_baseline_acc,supervised_divergence_utility_nominal_dummy_acc,supervised_divergence_utility_nominal_weighted_score,supervised_divergence_utility_total_score,supervised_divergence_utility_weighted_score,utility__label_count,utility__utility_nominal_raw_count,utility__utility_nominal_score_count,utility__utility_score_count,utility_label_acc,utility_label_baseline_acc,utility_label_dummy_acc,utility_label_dummy_strategy,utility_label_f1,utility_label_macro_f1,utility_label_racc,utility_label_score,utility_utility_dummy_strategy,utility_utility_nominal_baseline_acc,utility_utility_nominal_dummy_acc,utility_utility_nominal_weighted_score,utility_utility_total_score,utility_utility_weighted_score
baseline,{},0.9745467224546723,0.9968619246861925,0.9862273361227336,0.9793303017775941,,0.9731293923108723,,0.0,0.0,,,239,239,239,0.9581589958158996,0.9790794979079498,0.99581589958159,2419,2419,,,0.9731293923108723,0.9731293923108723,,,0.9722031519983906,0.9722031519983906,,,,0.9731293923108723,,,,,2419,2419,,,0.9793303017775941,0.9793303017775941,,,0.9794255899444719,0.9794255899444719,,,,0.9793303017775941,,,,
dpmlm_shap,"{'rho': 0.9, 'epsilon': 10}",0.7299307418311105,0.5396354304195631,0.3101025056321503,0.9450186027284002,,0.9673418768085986,,0.12067983095288129,0.2899763926758949,0.07066039558127782,2419.0,239,239,239,0.6192468619246861,0.22594142259414227,0.4393305439330544,2419,2419,2419.0,2419.0,0.9673418768085986,0.9731293923108723,0.054981397271599834,mode,0.9660887130329416,0.9660887130329416,0.9936965330932013,0.9936965330932013,mode,0.9731293923108723,0.054981397271599834,0.9936965330932013,0.9936965330932013,0.9936965330932013,2419,2419,2419.0,2419.0,0.9450186027284002,0.9793303017775941,0.054981397271599834,mode,0.9336333015566036,0.9336333015566036,0.9628801431127013,0.9628801431127013,mode,0.9793303017775941,0.054981397271599834,0.9628801431127013,0.9628801431127013,0.9628801431127013
dpmlm_shap,"{'rho': 0.9, 'epsilon': 25}",0.7452172714510469,0.5451951620782204,0.33876459280283183,0.9553534518396032,,0.9656883009508062,,0.12039217942999926,0.2898708604593423,0.07051288430348071,2419.0,239,239,239,0.6443514644351465,0.26778242677824265,0.45188284518828453,2419,2419,2419.0,2419.0,0.9656883009508062,0.9731293923108723,0.054981397271599834,mode,0.9651383169877272,0.9651383169877272,0.9918955425484016,0.9918955425484016,mode,0.9731293923108723,0.054981397271599834,0.9918955425484016,0.9918955425484016,0.9918955425484016,2419,2419,2419.0,2419.0,0.9553534518396032,0.9793303017775941,0.054981397271599834,mode,0.9506226756785505,0.9506226756785505,0.9740608228980322,0.9740608228980322,mode,0.9793303017775941,0.054981397271599834,0.9740608228980322,0.9740608228980322,0.9740608228980322
dpmlm_shap,"{'rho': 0.9, 'epsilon': 50}",0.7498527416293597,0.5608809533515171,0.3291220384148807,0.9599007854485324,,0.9661016949152542,,0.11945487293343546,0.28610813269047464,0.06926486883370864,2419.0,239,239,239,0.6527196652719666,0.24686192468619247,0.4602510460251046,2419,2419,2419.0,2419.0,0.9661016949152542,0.9731293923108723,0.054981397271599834,mode,0.9651734177679638,0.9651734177679638,0.9923457901846016,0.9923457901846016,mode,0.9731293923108723,0.054981397271599834,0.9923457901846016,0.9923457901846016,0.9923457901846016,2419,2419,2419.0,2419.0,0.9599007854485324,0.9793303017775941,0.054981397271599834,mode,0.954277044828232,0.954277044828232,0.9789803220035778,0.9789803220035778,mode,0.9793303017775941,0.054981397271599834,0.9789803220035778,0.9789803220035778,0.9789803220035778
dpmlm_shap,"{'rho': 0.9, 'epsilon': 100}",0.7350983974373161,0.5579224730405055,0.35423394966803684,0.9565936337329475,,0.9698222405952873,,0.11823737357657228,0.2828489888941468,0.06699285993436803,2419.0,239,239,239,0.6192468619246861,0.28870292887029286,0.4686192468619247,2419,2419,2419.0,2419.0,0.9698222405952873,0.9731293923108723,0.054981397271599834,mode,0.969568248569507,0.969568248569507,0.9963980189104007,0.9963980189104007,mode,0.9731293923108723,0.054981397271599834,0.9963980189104008,0.9963980189104008,0.9963980189104008,2419,2419,2419.0,2419.0,0.9565936337329475,0.9793303017775941,0.054981397271599834,mode,0.9519791579686925,0.9519791579686925,0.9754025044722718,0.9754025044722718,mode,0.9793303017775941,0.054981397271599834,0.9754025044722718,0.9754025044722718,0.9754025044722718
dpmlm_shap,"{'rho': 0.9, 'epsilon': 250}",0.7439341984254133,0.5437966885240952,0.34988451563785555,0.9503927242662257,,0.9665150888797024,,0.11650083576563519,0.27809649639358297,0.06356099344399463,2419.0,239,239,239,0.6359832635983264,0.2803347280334728,0.4435146443514644,2419,2419,2419.0,2419.0,0.9665150888797024,0.9731293923108723,0.054981397271599834,mode,0.9662339097378356,0.9662339097378356,0.9927960378208015,0.9927960378208015,mode,0.9731293923108723,0.054981397271599834,0.9927960378208015,0.9927960378208015,0.9927960378208015,2419,2419,2419.0,2419.0,0.9503927242662257,0.9793303017775941,0.054981397271599834,mode,0.9439554975339299,0.9439554975339299,0.9686940966010733,0.9686940966010733,mode,0.9793303017775941,0.054981397271599834,0.9686940966010733,0.9686940966010733,0.9686940966010733
dpmlm_shap,"{'rho': 0.8, 'epsilon': 10}",0.5988630095718729,0.4185610084271242,0.21822004026922703,0.944605208763952,,0.9561802397684994,,0.13813584739879026,0.332053714519988,0.15473710475364094,2419.0,239,239,239,0.47280334728033474,0.1506276150627615,0.3263598326359833,2419,2419,2419.0,2419.0,0.9561802397684994,0.9731293923108723,0.054981397271599834,mode,0.9551422468929841,0.9551422468929841,0.9815398469158038,0.9815398469158038,mode,0.9731293923108723,0.054981397271599834,0.9815398469158038,0.9815398469158038,0.9815398469158038,2419,2419,2419.0,2419.0,0.944605208763952,0.9793303017775941,0.054981397271599834,mode,0.9370531372100498,0.9370531372100498,0.962432915921288,0.962432915921288,mode,0.9793303017775941,0.054981397271599834,0.962432915921288,0.962432915921288,0.962432915921288
dpmlm_shap,"{'rho': 0.8, 'epsilon': 25}",0.6215975070975319,0.430998410773599,0.23437403699442044,0.9417114510128152,,0.9561802397684994,,0.13680521813046098,0.32674260470136823,0.15385360917569857,2419.0,239,239,239,0.5062761506276151,0.17154811715481172,0.3305439330543933,2419,2419,2419.0,2419.0,0.9561802397684994,0.9731293923108723,0.054981397271599834,mode,0.9548358505525784,0.9548358505525784,0.9815398469158038,0.9815398469158038,mode,0.9731293923108723,0.054981397271599834,0.9815398469158038,0.9815398469158038,0.9815398469158038,2419,2419,2419.0,2419.0,0.9417114510128152,0.9793303017775941,0.054981397271599834,mode,0.9323010661571786,0.9323010661571786,0.9593023255813953,0.9593023255813953,mode,0.9793303017775941,0.054981397271599834,0.9593023255813953,0.9593023255813953,0.9593023255813953
dpmlm_shap,"{'rho': 0.8, 'epsilon': 50}",0.6376452551681913,0.44722054727723864,0.2265302404952977,0.9470855725506407,,0.95824720959074,,0.133895146324399,0.3167808817629481,0.1480735790273702,2419.0,239,239,239,0.5230125523012552,0.1589958158995816,0.3389121338912134,2419,2419,2419.0,2419.0,0.95824720959074,0.9731293923108723,0.054981397271599834,mode,0.955662111897392,0.955662111897392,0.9837910850968032,0.9837910850968032,mode,0.9731293923108723,0.054981397271599834,0.9837910850968032,0.9837910850968032,0.9837910850968032,2419,2419,2419.0,2419.0,0.9470855725506407,0.9793303017775941,0.054981397271599834,mode,0.9394688274313063,0.9394688274313063,0.9651162790697674,0.9651162790697674,mode,0.9793303017775941,0.054981397271599834,0.9651162790697674,0.9651162790697674,0.9651162790697674
dpmlm_shap,"{'rho': 0.8, 'epsilon': 100}",0.6708371865953073,0.4801843195510446,0.27478303544946076,0.9280694501860273,,0.9578338156262919,,0.1303018634848577,0.3067683668829479,0.13871616365288816,2419.0,239,239,239,0.5648535564853556,0.20920502092050208,0.39330543933054396,2419,2419,2419.0,2419.0,0.9578338156262919,0.9731293923108723,0.054981397271599834,mode,0.9561172991607741,0.9561172991607741,0.9833408374606034,0.9833408374606034,mode,0.9731293923108723,0.054981397271599834,0.9833408374606034,0.9833408374606034,0.9833408374606034,2419,2419,2419.0,2419.0,0.9280694501860273,0.9793303017775941,0.054981397271599834,mode,0.9060498717980274,0.9060498717980274,0.9445438282647585,0.9445438282647585,mode,0.9793303017775941,0.054981397271599834,0.9445438282647585,0.9445438282647585,0.9445438282647585
