method,params,P_exact,P_more,P_full,U_nominal,U_ordinal,SD_nominal,SD_ordinal,D_bertscore,D_cosine,D_pp,divergence__count,privacy__exact_count,privacy__full_count,privacy__more_count,privacy_exact_accuracy,privacy_full_accuracy,privacy_more_accuracy,supervised_divergence__label_count,supervised_divergence__utility_nominal_score_count,supervised_divergence__utility_score_count,supervised_divergence_label_acc,supervised_divergence_label_baseline_acc,supervised_divergence_label_dummy_acc,supervised_divergence_label_f1,supervised_divergence_label_macro_f1,supervised_divergence_label_racc,supervised_divergence_label_score,supervised_divergence_utility_total_score,supervised_divergence_utility_weighted_score,utility__label_count,utility__utility_nominal_score_count,utility__utility_score_count,utility_label_acc,utility_label_baseline_acc,utility_label_dummy_acc,utility_label_f1,utility_label_macro_f1,utility_label_racc,utility_label_score,utility_utility_total_score,utility_utility_weighted_score
baseline,{},0.9745467224546723,0.9968619246861925,0.9862273361227336,1.0,,1.0,,0.0,0.0,,,239,239,239,0.9581589958158996,0.9790794979079498,0.99581589958159,4838,4838,4838,0.9880115750310046,0.9880115750310046,0.054981397271599834,0.9881722180276048,0.9881722180276048,1.0,1.0,1.0,1.0,2419,2419,2419,0.9842910293509715,0.9842910293509715,0.054981397271599834,0.9848380920259644,0.9848380920259644,1.0,1.0,1.0,1.0
petre_shap,{'k': 2},0.767141390916262,0.6732668593762995,0.24989251497715453,0.9906583629893237,,0.9809481612760301,,0.12690232836446175,,0.28972577544343475,2419.0,239,239,239,0.6610878661087866,0.0,0.5732217573221757,4838,4838,4838,0.9702356345597354,0.9880115750310046,0.054981397271599834,0.9703423907392136,0.9703423907392136,0.98094816127603,0.98094816127603,0.9809481612760301,0.9809481612760301,2419,2419,2419,0.975609756097561,0.9842910293509715,0.054981397271599834,0.9750169646289525,0.9750169646289525,0.9906583629893239,0.9906583629893239,0.9906583629893237,0.9906583629893237
petre_shap,{'k': 3},0.7388581696964629,0.6313835915516091,0.1681938157701314,0.9701957295373665,,0.9743021710234825,,0.1347030008465064,,0.34531600007156205,2419.0,239,239,239,0.6276150627615062,0.0,0.497907949790795,4838,4838,4838,0.9640347250930137,0.9880115750310046,0.054981397271599834,0.9640951668449439,0.9640951668449439,0.9743021710234825,0.9743021710234825,0.9743021710234825,0.9743021710234825,2419,2419,2419,0.9565936337329475,0.9842910293509715,0.054981397271599834,0.9555441307895842,0.9555441307895842,0.9701957295373665,0.9701957295373665,0.9701957295373665,0.9701957295373665
petre_shap,{'k': 5},0.7214066687999803,0.5613615061397895,0.10085357171429962,0.9790925266903915,,0.9649977846699159,,0.14430478388931003,,0.3872176663849986,2419.0,239,239,239,0.6150627615062761,0.0,0.39330543933054396,4838,4838,4838,0.9553534518396032,0.9880115750310046,0.054981397271599834,0.9558011215450444,0.9558011215450444,0.9649977846699158,0.9649977846699158,0.9649977846699159,0.9649977846699159,2419,2419,2419,0.9648615130219099,0.9842910293509715,0.054981397271599834,0.9646700529387323,0.9646700529387323,0.9790925266903915,0.9790925266903915,0.9790925266903915,0.9790925266903915
petre_shap,{'k': 7},0.6895553865988807,0.5193230703775044,0.0766581294414785,0.9737544483985765,,0.9574656623836952,,0.15123451157708265,,0.40455105747224074,2419.0,239,239,239,0.5732217573221757,0.0,0.3389121338912134,4838,4838,4838,0.9483257544439851,0.9880115750310046,0.054981397271599834,0.948535757507814,0.948535757507814,0.9574656623836952,0.9574656623836952,0.9574656623836952,0.9574656623836952,2419,2419,2419,0.9599007854485324,0.9842910293509715,0.054981397271599834,0.9587930068961805,0.9587930068961805,0.9737544483985765,0.9737544483985765,0.9737544483985765,0.9737544483985765
petre_shap,{'k': 10},0.6772121181726021,0.4392252376425425,0.05429824079414887,0.9675266903914592,,0.953921134249003,,0.15800419083899236,,0.42916537808776695,2419.0,239,239,239,0.5564853556485355,0.0,0.2301255230125523,4838,4838,4838,0.9450186027284002,0.9880115750310046,0.054981397271599834,0.9450703606813349,0.9450703606813349,0.9539211342490032,0.9539211342490032,0.953921134249003,0.953921134249003,2419,2419,2419,0.9541132699462588,0.9842910293509715,0.054981397271599834,0.9522726408084597,0.9522726408084597,0.9675266903914591,0.9675266903914591,0.9675266903914592,0.9675266903914592
risk_shap,{'rho': 0.9},0.7943311548798792,0.6007257547035377,0.38274853756127153,0.9875444839857652,,0.9871510855117414,,0.12577706358559912,,0.05408373806188888,2419.0,239,239,239,0.7071129707112971,0.3054393305439331,0.502092050209205,4838,4838,4838,0.9760231500620091,0.9880115750310046,0.054981397271599834,0.9752019977164927,0.9752019977164927,0.9871510855117412,0.9871510855117412,0.9871510855117414,0.9871510855117414,2419,2419,2419,0.9727159983464242,0.9842910293509715,0.054981397271599834,0.9715443413837296,0.9715443413837296,0.9875444839857652,0.9875444839857652,0.9875444839857652,0.9875444839857652
risk_shap,{'rho': 0.8},0.749338943907053,0.523987048743147,0.29306001911964874,0.9790925266903915,,0.9769605671245015,,0.14889605292213412,,0.11188714438851102,2419.0,239,239,239,0.6527196652719666,0.2175732217573222,0.42677824267782427,4838,4838,4838,0.9665150888797024,0.9880115750310046,0.054981397271599834,0.9660201801790874,0.9660201801790874,0.9769605671245015,0.9769605671245015,0.9769605671245015,0.9769605671245015,2419,2419,2419,0.9648615130219099,0.9842910293509715,0.054981397271599834,0.9626027975378989,0.9626027975378989,0.9790925266903915,0.9790925266903915,0.9790925266903915,0.9790925266903915
risk_shap,{'rho': 0.7},0.7163879899095729,0.49436013442738336,0.25232745002566087,0.9839857651245552,,0.9751883030571554,,0.16950632972429489,,0.17028687154045843,2419.0,239,239,239,0.6150627615062761,0.1799163179916318,0.39330543933054396,4838,4838,4838,0.9648615130219099,0.9880115750310046,0.054981397271599834,0.9647009533493421,0.9647009533493421,0.9751883030571555,0.9751883030571555,0.9751883030571554,0.9751883030571554,2419,2419,2419,0.9694088466308391,0.9842910293509715,0.054981397271599834,0.9684839630045877,0.9684839630045877,0.9839857651245552,0.9839857651245552,0.9839857651245552,0.9839857651245552
risk_shap,{'rho': 0.6},0.6600943118940967,0.45784902549432366,0.22053651999385712,0.9808718861209965,,0.9654408506867523,,0.1884111210845531,,0.22870101040632193,2419.0,239,239,239,0.5397489539748954,0.14644351464435146,0.36401673640167365,4838,4838,4838,0.9557668458040512,0.9880115750310046,0.054981397271599834,0.9559274861875543,0.9559274861875543,0.9654408506867523,0.9654408506867523,0.9654408506867523,0.9654408506867523,2419,2419,2419,0.9665150888797024,0.9842910293509715,0.054981397271599834,0.9657867933788898,0.9657867933788898,0.9808718861209965,0.9808718861209965,0.9808718861209965,0.9808718861209965
