method,params,P_exact,P_more,P_full,U_nominal,U_ordinal,SD_nominal,SD_ordinal,D_bertscore,D_cosine,relative_gain,D_pp,divergence__count,privacy__exact_count,privacy__full_count,privacy__more_count,privacy_exact_accuracy,privacy_full_accuracy,privacy_more_accuracy,supervised_divergence__country_count,supervised_divergence__utility_nominal_score_count,supervised_divergence__utility_ordinal_score_count,supervised_divergence__utility_score_count,supervised_divergence__year_count,supervised_divergence_country_acc,supervised_divergence_country_baseline_acc,supervised_divergence_country_dummy_acc,supervised_divergence_country_f1,supervised_divergence_country_macro_f1,supervised_divergence_country_racc,supervised_divergence_country_score,supervised_divergence_utility_total_score,supervised_divergence_utility_weighted_score,supervised_divergence_year_acc,supervised_divergence_year_baseline_acc,supervised_divergence_year_baseline_mae,supervised_divergence_year_dummy_mae,supervised_divergence_year_macro_mae,supervised_divergence_year_mae,supervised_divergence_year_rmae,supervised_divergence_year_score,utility__country_count,utility__utility_nominal_score_count,utility__utility_ordinal_score_count,utility__utility_score_count,utility__year_count,utility_country_acc,utility_country_baseline_acc,utility_country_dummy_acc,utility_country_f1,utility_country_macro_f1,utility_country_racc,utility_country_score,utility_utility_total_score,utility_utility_weighted_score,utility_year_acc,utility_year_baseline_acc,utility_year_baseline_mae,utility_year_dummy_mae,utility_year_macro_mae,utility_year_mae,utility_year_rmae,utility_year_score
baseline,{},0.895139275971541,0.9056791854629719,0.8420791258398201,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,127,126,127,0.8503937007874016,0.8095238095238095,0.8818897637795275,2409,2409,2409,4818,2409,0.9929431299294313,0.9929431299294313,0.32959734329597346,0.9865827601067023,0.9865827601067023,1.0,1.0,0.5,0.5,0.26193441261934414,0.26193441261934414,1.7476131174761311,2.302615193026152,1.753690696621046,1.7476131174761311,0.0,0.0,1268,1268,1268,2536,1268,0.9881703470031545,0.9881703470031545,0.32965299684542587,0.975727046579007,0.975727046579007,1.0,1.0,0.5,0.5,0.26419558359621453,0.26419558359621453,1.641167192429022,2.2996845425867507,1.6918436061994298,1.641167192429022,0.0,0.0
baroud,{'lambda': 0.9},0.8661026830202371,0.8910784776304875,0.8145591611971809,0.013173652694610783,1.044311377245509,0.8754693366708385,0.511593118922962,0.0709840180557985,,0.08440898861678303,0.8584017821956487,1268.0,127,126,127,0.8110236220472441,0.7698412698412699,0.8503937007874016,2409,2409,2409,4818,2409,0.9103362391033624,0.9929431299294313,0.32959734329597346,0.8961677569627877,0.8961677569627877,0.8754693366708385,0.8754693366708385,0.6935312277969002,0.6935312277969002,0.2083852220838522,0.26193441261934414,1.7476131174761311,2.302615193026152,1.9892835750385731,2.0315483603154836,0.511593118922962,0.511593118922962,1268,1268,1268,2536,1268,0.3383280757097792,0.9881703470031545,0.32965299684542587,0.13086077586018618,0.13086077586018618,0.013173652694610783,0.013173652694610783,0.5287425149700599,0.5287425149700599,0.11514195583596215,0.26419558359621453,1.641167192429022,2.2996845425867507,2.281199909077341,2.328864353312303,1.044311377245509,1.044311377245509
baroud,{'lambda': 0.5},0.8452105848026924,0.8890544744082952,0.8238782762339687,0.02035928143712571,1.0562874251497005,0.8341677096370462,0.9730740463724755,0.07992687976510743,,0.10871539219820647,0.9843963672377375,1268.0,127,126,127,0.7795275590551181,0.7857142857142857,0.8503937007874016,2409,2409,2409,4818,2409,0.8829389788293898,0.9929431299294313,0.32959734329597346,0.8690735188014393,0.8690735188014393,0.8341677096370462,0.8341677096370462,0.9036208780047609,0.9036208780047609,0.1809879618098796,0.26193441261934414,1.7476131174761311,2.302615193026152,2.229996639775355,2.287671232876712,0.9730740463724756,0.9730740463724756,1268,1268,1268,2536,1268,0.3430599369085173,0.9881703470031545,0.32965299684542587,0.1298539042326536,0.1298539042326536,0.02035928143712571,0.02035928143712571,0.5383233532934131,0.5383233532934131,0.11041009463722397,0.26419558359621453,1.641167192429022,2.2996845425867507,2.280264069561999,2.336750788643533,1.0562874251497005,1.0562874251497005
petre_shap,{'k': 2},0.6555877965539134,0.6871778075002234,0.324948057892898,-0.003592814371257463,1.0107784431137727,0.7922403003754693,0.23261032161555725,0.11398589578148695,,0.3761684943756186,0.39487251250401867,1268.0,127,126,127,0.5590551181102362,0.0,0.5354330708661418,2409,2409,2409,4818,2409,0.8551266085512661,0.9929431299294313,0.32959734329597346,0.7874737616456291,0.7874737616456291,0.7922403003754693,0.7922403003754693,0.5124253109955134,0.5124253109955134,0.21129099211290991,0.26193441261934414,1.7476131174761311,2.302615193026152,1.8481071914479297,1.8767123287671232,0.23261032161555725,0.23261032161555725,1268,1268,1268,2536,1268,0.3272870662460568,0.9881703470031545,0.32965299684542587,0.10656991061106254,0.10656991061106254,-0.0035928143712574633,-0.0035928143712574633,0.5035928143712577,0.5035928143712577,0.10804416403785488,0.26419558359621453,1.641167192429022,2.2996845425867507,2.246085483643434,2.306782334384858,1.0107784431137727,1.0107784431137727
petre_shap,{'k': 3},0.6062169485960152,0.6258222975911361,0.2155042495204464,-0.0059880239520958565,1.0275449101796408,0.7440550688360449,0.23560209424083786,0.12792607756443203,,0.47384610746805644,0.4431404979717001,1268.0,127,126,127,0.49606299212598426,0.0,0.44881889763779526,2409,2409,2409,4818,2409,0.8231631382316313,0.9929431299294313,0.32959734329597346,0.7430603483685237,0.7430603483685237,0.7440550688360449,0.7440550688360449,0.48982858153844144,0.48982858153844144,0.21253632212536322,0.26193441261934414,1.7476131174761311,2.302615193026152,1.8480670871939475,1.8783727687837277,0.23560209424083786,0.23560209424083786,1268,1268,1268,2536,1268,0.3257097791798107,0.9881703470031545,0.32965299684542587,0.10558923671128906,0.10558923671128906,-0.0059880239520958565,-0.0059880239520958565,0.5107784431137724,0.5107784431137724,0.10252365930599369,0.26419558359621453,1.641167192429022,2.2996845425867507,2.2588751962541966,2.3178233438485805,1.0275449101796408,1.0275449101796408
petre_shap,{'k': 5},0.5149584669296912,0.5384227417663834,0.1274774015792363,-0.008383233532934166,1.0502994011976052,0.678973717146433,0.2176514584891549,0.14613603896899177,,0.5951116391951623,0.47264525962851384,1268.0,127,126,127,0.3858267716535433,0.0,0.3228346456692913,2409,2409,2409,4818,2409,0.779991697799917,0.9929431299294313,0.32959734329597346,0.6852200205901448,0.6852200205901448,0.678973717146433,0.678973717146433,0.4483125878177939,0.4483125878177939,0.20589456205894563,0.26193441261934414,1.7476131174761311,2.302615193026152,1.8341465098940308,1.8684101286841013,0.21765145848915493,0.21765145848915493,1268,1268,1268,2536,1268,0.32413249211356465,0.9881703470031545,0.32965299684542587,0.0983850900766398,0.0983850900766398,-0.008383233532934166,-0.008383233532934166,0.5209580838323356,0.5209580838323356,0.10646687697160884,0.26419558359621453,1.641167192429022,2.2996845425867507,2.2821215129270036,2.332807570977918,1.0502994011976052,1.0502994011976052
petre_shap,{'k': 7},0.46148876110151726,0.48732209809684224,0.08948883516113071,-0.002395209580838309,1.0934131736526946,0.6501877346683355,0.22213911742707562,0.15596335806681155,,0.6981538215644247,0.4891712861764025,1268.0,127,126,127,0.33858267716535434,0.0,0.2677165354330709,2409,2409,2409,4818,2409,0.7608966376089664,0.9929431299294313,0.32959734329597346,0.6613409787277975,0.6613409787277975,0.6501877346683355,0.6501877346683355,0.4361634260477056,0.4361634260477056,0.2009132420091324,0.26193441261934414,1.7476131174761311,2.302615193026152,1.836541345562955,1.870900788709008,0.22213911742707565,0.22213911742707565,1268,1268,1268,2536,1268,0.3280757097791798,0.9881703470031545,0.32965299684542587,0.10515693850260782,0.10515693850260782,-0.002395209580838309,-0.002395209580838309,0.5455089820359281,0.5455089820359281,0.10094637223974763,0.26419558359621453,1.641167192429022,2.2996845425867507,2.3114799110071305,2.361198738170347,1.0934131736526946,1.0934131736526946
petre_shap,{'k': 10},0.40988318789615824,0.38997403933146063,0.06316693358809522,0.0,1.0491017964071856,0.6107634543178974,0.2677636499626029,0.1648827590494878,,0.722557111145368,0.5034485188253002,1268.0,127,126,127,0.2755905511811024,0.0,0.14960629921259844,2409,2409,2409,4818,2409,0.7347447073474471,0.9929431299294313,0.32959734329597346,0.6317449904152714,0.6317449904152714,0.6107634543178974,0.6107634543178974,0.4392635521402501,0.4392635521402501,0.1901203819012038,0.26193441261934414,1.7476131174761311,2.302615193026152,1.8545369818374924,1.896222498962225,0.2677636499626029,0.2677636499626029,1268,1268,1268,2536,1268,0.32965299684542587,0.9881703470031545,0.32965299684542587,0.10023886752425533,0.10023886752425533,0.0,0.0,0.5245508982035928,0.5245508982035928,0.111198738170347,0.26419558359621453,1.641167192429022,2.2996845425867507,2.2806619485074657,2.332018927444795,1.0491017964071856,1.0491017964071856
risk_shap,{'rho': 0.9},0.7404528420705088,0.7223853448058671,0.575002235773723,0.003592814371257463,1.1185628742514973,0.9536921151439297,0.4076290201944652,0.07257567938381941,,0.35109273390881124,0.04134183137774727,1268.0,127,126,127,0.6299212598425197,0.46825396825396826,0.6141732283464567,2409,2409,2409,4818,2409,0.9622249896222499,0.9929431299294313,0.32959734329597346,0.9199224517112207,0.9199224517112207,0.9536921151439298,0.9536921151439298,0.6806605676691975,0.6806605676691975,0.22457451224574512,0.26193441261934414,1.7476131174761311,2.302615193026152,1.9680877231203706,1.9738480697384806,0.4076290201944652,0.4076290201944652,1268,1268,1268,2536,1268,0.33201892744479494,0.9881703470031545,0.32965299684542587,0.08707505417696791,0.08707505417696791,0.0035928143712574633,0.0035928143712574633,0.5610778443113773,0.5610778443113773,0.10883280757097792,0.26419558359621453,1.641167192429022,2.2996845425867507,2.3334525544657807,2.3777602523659307,1.1185628742514973,1.1185628742514973
risk_shap,{'rho': 0.8},0.6778778169058819,0.6937695204685126,0.5095821247186886,0.0011976047904191545,1.0167664670658683,0.9374217772215269,0.3986537023186241,0.09059762776086007,,0.30615841160244894,0.09118913293003578,1268.0,127,126,127,0.5669291338582677,0.40476190476190477,0.5826771653543307,2409,2409,2409,4818,2409,0.9514321295143213,0.9929431299294313,0.32959734329597346,0.9018455733376677,0.9018455733376677,0.9374217772215269,0.9374217772215269,0.6680377397700755,0.6680377397700755,0.22997094229970944,0.26193441261934414,1.7476131174761311,2.302615193026152,1.95728689277492,1.9688667496886676,0.3986537023186241,0.3986537023186241,1268,1268,1268,2536,1268,0.3304416403785489,0.9881703470031545,0.32965299684542587,0.09119930480507876,0.09119930480507876,0.0011976047904191545,0.0011976047904191545,0.5089820359281437,0.5089820359281437,0.10331230283911672,0.26419558359621453,1.641167192429022,2.2996845425867507,2.2481827292921994,2.310725552050473,1.0167664670658683,1.0167664670658683
