dataset,method,params,split,privacy_full_mean_reciprocal_rank,privacy_full_accuracy,privacy_full_deid_mean_reciprocal_rank,privacy_full_deid_accuracy,privacy_full_deid_nobart_mean_reciprocal_rank,privacy_full_deid_nobart_accuracy,privacy_full_nobart_mean_reciprocal_rank,privacy_full_nobart_accuracy,utility_scenario_acc,utility_scenario_macro_f1,utility_scenario_f1,utility_utility_nominal_raw_acc,utility__utility_nominal_raw_count,pseudo_utility_scenario_acc,pseudo_utility_scenario_macro_f1,pseudo_utility_scenario_f1,pseudo_utility_utility_nominal_raw_acc,pseudo_utility__utility_nominal_raw_count,divergence_bertscore,divergence_cosine,runtime_avg_anon_time_s,utility_scenario_dummy_strategy,pseudo_utility_scenario_dummy_strategy,utility_scenario_baseline_acc,utility_scenario_baseline_macro_f1,utility_scenario_baseline_f1,utility_scenario_dummy_acc,pseudo_utility_scenario_baseline_acc,pseudo_utility_scenario_baseline_macro_f1,pseudo_utility_scenario_baseline_f1,pseudo_utility_scenario_dummy_acc,divergence_pp,runtime_anon_total_time_s,runtime_anon_texts_processed,runtime_bk_gen_total_time_s,runtime_deid_total_time_s,runtime_risk_total_time_s,runtime_train_total_time_s,runtime_real_anon_total_time_s
rat_bench,baseline,{},,0.795223192108438,0.7213114754098361,0.7264642587090353,0.6721311475409836,0.5559404535821617,0.45901639344262296,0.7063739125203679,0.639344262295082,0.88,0.8734883720930232,0.8734883720930232,0.88,300,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.9733333333333334,300,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
rat_bench,dummy,{},,0.02094221293433168,0.0033333333333333335,,,,,,,0.37,,,0.37,300,0.37,,,0.37,300,1.0,1.0,,mode,mode,,,,,,,,,,,,,,,,
rat_bench,presidio,{},,0.5460193000750843,0.47540983606557374,0.7559716680751221,0.7049180327868853,0.6163419679934616,0.5409836065573771,0.562958249666981,0.45901639344262296,1.0,1.0,1.0,1.0,300,0.96,0.9602339181286549,0.9602339181286549,0.96,300,0.03321937163670858,0.07060565233230591,0.1744666666666667,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,52.34,300.0,0.0,0.0,0.0,0.0,52.34
rat_bench,spacy,{},,0.4774445496889519,0.3770491803278688,0.7141619736265178,0.6721311475409836,0.5825491717932793,0.4918032786885246,0.572059624233206,0.47540983606557374,0.9933333333333333,0.9934006211180124,0.9934006211180124,0.9933333333333333,300,0.9433333333333334,0.9434539095556045,0.9434539095556045,0.9433333333333334,300,0.03353022972742716,0.07210669914881389,0.194,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,58.2,300.0,0.0,0.0,0.0,0.0,58.2
rat_bench,manual,{},,0.7678620262733088,0.6885245901639344,0.7312845432919092,0.6885245901639344,0.5323283110783259,0.4262295081967213,0.684581032379007,0.6065573770491803,0.9733333333333334,0.9734892787524366,0.9734892787524366,0.9733333333333334,300,0.97,0.9700638344706141,0.9700638344706141,0.97,300,2.160469690958659e-06,4.967053731282552e-09,,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,0.13,300.0,0.0,0.0,0.0,0.0,0.13
rat_bench,dpbart,{'epsilon': 10},,0.022751999216695573,0.0,0.025403400593550483,0.0,0.02620286985031939,0.0,0.031022146409471894,0.0,0.3859060402684564,0.28548869528573256,0.28548869528573256,0.3859060402684564,300,0.33557046979865773,0.2612717403345519,0.2612717403345519,0.33557046979865773,300,0.2933015357327941,0.8787848803264733,2.7556333333333334,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,826.69,300.0,0.0,0.0,0.0,0.0,826.69
rat_bench,dpbart,{'epsilon': 25},,0.0468284865667711,0.01639344262295082,0.040728204391485695,0.0,0.03978106234983204,0.01639344262295082,0.05014455238381914,0.01639344262295082,0.37373737373737376,0.297775951311631,0.297775951311631,0.37373737373737376,300,0.31986531986531985,0.25896966113844944,0.25896966113844944,0.31986531986531985,300,0.28968704368931675,0.8802648355497631,2.576233333333333,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,772.87,300.0,0.0,0.0,0.0,0.0,772.87
rat_bench,dpbart,{'epsilon': 50},,0.019975197741538105,0.0,0.03402940290162422,0.0,0.04371040508128323,0.01639344262295082,0.039470326767535674,0.0,0.36666666666666664,0.24498342657613537,0.24498342657613537,0.36666666666666664,300,0.33666666666666667,0.2634573034573035,0.2634573034573035,0.33666666666666667,300,0.27662717779477436,0.8074907225711893,2.7768333333333333,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,833.05,300.0,0.0,0.0,0.0,0.0,833.05
rat_bench,dpbart,{'epsilon': 100},,0.07075913271007327,0.03278688524590164,0.07039195503152744,0.03278688524590164,0.09221971125343043,0.04918032786885246,0.10008555652865093,0.06557377049180328,0.47333333333333333,0.3837013156260837,0.3837013156260837,0.47333333333333333,300,0.3933333333333333,0.31074971023071946,0.31074971023071946,0.3933333333333333,300,0.20646053830782574,0.5679615693291028,3.3838333333333335,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,1015.15,300.0,0.0,0.0,0.0,0.0,1015.15
rat_bench,dpbart,{'epsilon': 250},,0.10501613487719831,0.04918032786885246,0.12692477684908368,0.06557377049180328,0.12182111997863102,0.04918032786885246,0.12120137712081297,0.06557377049180328,0.6333333333333333,0.5833643007556052,0.5833643007556052,0.6333333333333333,300,0.4266666666666667,0.3675155642348071,0.3675155642348071,0.4266666666666667,300,0.19867261330286662,0.5322078641255696,3.351466666666667,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,1005.44,300.0,0.0,0.0,0.0,0.0,1005.44
rat_bench,dpparaphrase,{'epsilon': 10},,0.013872423875849048,0.0,0.015038975676717702,0.0,0.018875030394627762,0.0,0.016648438776170497,0.0,0.37,0.18004866180048662,0.18004866180048662,0.37,300,0.31,0.15776081424936386,0.15776081424936386,0.31,300,0.3038401633501053,0.7849345584213734,18.0841,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,5425.23,300.0,0.0,0.0,0.0,0.0,5425.23
rat_bench,dpparaphrase,{'epsilon': 25},,0.015182227906861951,0.0,0.01475702803133859,0.0,0.02025898193320921,0.0,0.022870454165063833,0.0,0.37,0.19789081885856083,0.19789081885856083,0.37,300,0.31,0.15776081424936386,0.15776081424936386,0.31,300,0.30227663815021516,0.7825086122875412,17.578133333333334,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,5273.44,300.0,0.0,0.0,0.0,0.0,5273.44
rat_bench,dpparaphrase,{'epsilon': 50},,0.013786681691160145,0.0,0.01617901984443868,0.0,0.027961552857077212,0.0,0.026816749565532004,0.0,0.35333333333333333,0.2352102637205987,0.2352102637205987,0.35333333333333333,300,0.30666666666666664,0.15646258503401364,0.15646258503401364,0.30666666666666664,300,0.29867685238520303,0.7776277005362014,18.19663333333333,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,5458.99,300.0,0.0,0.0,0.0,0.0,5458.99
rat_bench,dpparaphrase,{'epsilon': 100},,0.013554478428506149,0.0,0.020753609484870983,0.0,0.02488987420397293,0.0,0.03723907132499742,0.01639344262295082,0.37666666666666665,0.24611843818110138,0.24611843818110138,0.37666666666666665,300,0.31,0.15776081424936386,0.15776081424936386,0.31,300,0.29000401218732197,0.777827448019137,16.524099999999997,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,4957.23,300.0,0.0,0.0,0.0,0.0,4957.23
rat_bench,dpparaphrase,{'epsilon': 250},,0.11789046364001393,0.04918032786885246,0.1106350761396301,0.04918032786885246,0.05894832560164133,0.0,0.06245044831202243,0.01639344262295082,0.41,0.2798413560201737,0.2798413560201737,0.41,300,0.3933333333333333,0.2422196322196322,0.2422196322196322,0.3933333333333333,300,0.2448097687959671,0.6887073825796445,17.227666666666668,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,5168.3,300.0,0.0,0.0,0.0,0.0,5168.3
rat_bench,dpprompt,{'epsilon': 10},,0.014887938324005496,0.0,0.013978721796191815,0.0,0.021597859968848377,0.0,0.016800318203394275,0.0,0.36333333333333334,0.23364893715770907,0.23364893715770907,0.36333333333333334,300,0.32,0.1770351937433345,0.1770351937433345,0.32,300,0.28880473335584006,0.8031471066363156,21.074666666666666,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,6322.4,300.0,0.0,0.0,0.0,0.0,6322.4
rat_bench,dpprompt,{'epsilon': 25},,0.029929635040598847,0.01639344262295082,0.022457589904967233,0.0,0.023829556068816555,0.0,0.02037047244060112,0.0,0.32666666666666666,0.25642438484185504,0.25642438484185504,0.32666666666666666,300,0.33666666666666667,0.23166369645723528,0.23166369645723528,0.33666666666666667,300,0.27943899035453795,0.8100512903742492,8.9849,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,2695.47,300.0,0.0,0.0,0.0,0.0,2695.47
rat_bench,dpprompt,{'epsilon': 50},,0.10575893808320853,0.06557377049180328,0.11692742510291716,0.06557377049180328,0.05929224826891138,0.01639344262295082,0.10699056403595812,0.06557377049180328,0.5217391304347826,0.4157261899536164,0.4157261899536164,0.5217391304347826,300,0.49498327759197325,0.4691147171436105,0.4691147171436105,0.4949832775919733,300,0.20125206238450016,0.876650273818585,0.37126666666666663,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,111.38,300.0,0.0,0.0,0.0,0.0,111.38
rat_bench,dpprompt,{'epsilon': 100},,0.1592083973334774,0.08196721311475409,0.13693039225288228,0.06557377049180328,0.11601617662153302,0.08196721311475409,0.11299724837800883,0.03278688524590164,0.6533333333333333,0.6331552205631277,0.6331552205631277,0.6533333333333333,300,0.57,0.5667712893738353,0.5667712893738353,0.57,300,0.1851717835664749,0.8374482467956841,0.3040333333333333,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,91.21,300.0,0.0,0.0,0.0,0.0,91.21
rat_bench,dpprompt,{'epsilon': 250},,0.1744968703175034,0.08196721311475409,0.16294183732845008,0.09836065573770492,0.0948603198650781,0.03278688524590164,0.14440285957499305,0.06557377049180328,0.6966666666666667,0.6513106067422579,0.6513106067422579,0.6966666666666667,300,0.5666666666666667,0.5617265129755057,0.5617265129755057,0.5666666666666667,300,0.1856410111983617,0.8510528717158983,0.6617999999999999,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0,198.54,300.0,0.0,0.0,0.0,0.0,198.54
rat_bench,dpmlm_uniform,{'epsilon': 10},,0.016568671347990414,0.0,0.021264370436330542,0.0,0.028109468570977174,0.0,0.025096887912759044,0.0,0.36666666666666664,0.18483858189740543,0.18483858189740543,0.36666666666666664,300,0.30666666666666664,0.15646258503401364,0.15646258503401364,0.30666666666666664,300,0.27856175204118094,0.6858316670854886,48.044066666666666,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.9980072321707585,14413.22,300.0,0.0,0.0,0.0,0.0,14413.22
rat_bench,dpmlm_uniform,{'epsilon': 25},,0.09116673250304012,0.0,0.1488352785273419,0.06557377049180328,0.07697404277930624,0.01639344262295082,0.10150886576585964,0.04918032786885246,0.4533333333333333,0.33657618975425224,0.33657618975425224,0.4533333333333333,300,0.44,0.32052024664883766,0.32052024664883766,0.44,300,0.22121034880479176,0.3805418207248052,80.82516666666666,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.9425281864609715,24247.55,300.0,0.0,0.0,0.0,0.0,24247.55
rat_bench,dpmlm_uniform,{'epsilon': 50},,0.528292389956415,0.4098360655737705,0.5136987363082218,0.39344262295081966,0.3374494006013281,0.2786885245901639,0.42706871708550637,0.3442622950819672,0.6533333333333333,0.5943158290984377,0.5943158290984377,0.6533333333333333,300,0.7666666666666667,0.732118660472319,0.732118660472319,0.7666666666666667,300,0.17438461601734162,0.194352823694547,82.02766666666666,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.8371293724837298,24608.3,300.0,0.0,0.0,0.0,0.0,24608.3
rat_bench,dpmlm_uniform,{'epsilon': 100},,0.5955288197629129,0.47540983606557374,0.5888297965031518,0.5081967213114754,0.37208740011201247,0.2786885245901639,0.4618027023139178,0.36065573770491804,0.8233333333333334,0.8060907541966981,0.8060907541966981,0.8233333333333334,300,0.8033333333333333,0.7824610408215941,0.7824610408215941,0.8033333333333333,300,0.1621591595808665,0.17163250386714934,96.47033333333333,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.7900893607401602,28941.1,300.0,0.0,0.0,0.0,0.0,28941.1
rat_bench,dpmlm_uniform,{'epsilon': 250},,0.5809427743614923,0.45901639344262296,0.6204050155305062,0.5737704918032787,0.36741719699539255,0.2786885245901639,0.48591898504679437,0.4098360655737705,0.8966666666666666,0.8930139315350064,0.8930139315350064,0.8966666666666666,300,0.8066666666666666,0.7867647058823529,0.7867647058823529,0.8066666666666666,300,0.15746629496415457,0.16623759329319,78.3078,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.7662357542363202,23492.34,300.0,0.0,0.0,0.0,0.0,23492.34
rat_bench,dpmlm_shap,"{'epsilon': 10, 'k': 2}",,0.2862020775388114,0.0,0.630134481582198,0.5245901639344263,0.5763556453795763,0.4918032786885246,0.470293969713364,0.36065573770491804,0.9433333333333334,0.943679508030827,0.943679508030827,0.9433333333333334,300,0.9366666666666666,0.9376618229058346,0.9376618229058346,0.9366666666666666,300,0.059419993758201596,0.12119398832321167,14.311225105885827,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.07868851677542228,8965.63,300.0,13809.0,52.34,2187.0,22.1824,4293.367531765748
rat_bench,dpmlm_shap,"{'epsilon': 10, 'k': 3}",,0.20490550525863255,0.0,0.5928493121550323,0.4918032786885246,0.5359781476963383,0.4426229508196721,0.439717912340821,0.3442622950819672,0.96,0.9602977891064524,0.9602977891064524,0.96,300,0.9166666666666666,0.9183338910228024,0.9183338910228024,0.9166666666666666,300,0.06883943617343903,0.14243398288885753,17.148979175342767,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.11130229462099375,8965.63,300.0,13809.0,52.34,2187.0,22.1824,5144.6937526028305
rat_bench,dpmlm_shap,"{'epsilon': 10, 'k': 5}",,0.13927969209183577,0.0,0.5194471011438385,0.4098360655737705,0.5143421300792491,0.4098360655737705,0.4250352400209981,0.32786885245901637,0.97,0.970386925619068,0.970386925619068,0.97,300,0.9166666666666666,0.9183887065233449,0.9183887065233449,0.9166666666666666,300,0.08084442893664043,0.16915318101644516,20.597068939613816,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.1509305466862072,8965.63,300.0,13809.0,52.34,2187.0,22.1824,6179.120681884145
rat_bench,dpmlm_shap,"{'epsilon': 10, 'k': 7}",,0.1036440617840743,0.0,0.49503087694625747,0.39344262295081966,0.5109708317418715,0.4262295081967213,0.3836243014513055,0.29508196721311475,0.8233333333333334,0.8079175508587273,0.8079175508587273,0.8233333333333334,300,0.9166666666666666,0.918393189952579,0.918393189952579,0.9166666666666666,300,0.09240156133969625,0.1938230871160825,23.929617912631738,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.18923091000355882,8965.63,300.0,13809.0,52.34,2187.0,22.1824,7178.8853737895215
rat_bench,dpmlm_shap,"{'epsilon': 10, 'k': 10}",,0.07735674781341263,0.0,0.40478384804268275,0.2786885245901639,0.4410812182361375,0.3442622950819672,0.35034810483299106,0.26229508196721313,0.7833333333333333,0.7600293411785346,0.7600293411785346,0.7833333333333333,300,0.89,0.8926439076061589,0.8926439076061589,0.89,300,0.10514675319194794,0.2230324931939443,28.0644075850104,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.23675127593820347,8965.63,300.0,13809.0,52.34,2187.0,22.1824,8419.32227550312
rat_bench,dpmlm_shap,"{'epsilon': 10, 'k': 15}",,0.05553644371598068,0.0,0.36997358414942405,0.2786885245901639,0.3768955698533685,0.2786885245901639,0.3093167737146744,0.21311475409836064,0.8266666666666667,0.8230135455941908,0.8230135455941908,0.8266666666666667,300,0.8433333333333334,0.8467450053912243,0.8467450053912243,0.8433333333333334,300,0.11697906394799551,0.25023382633924485,32.08081953471513,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.28291114880168816,8965.63,300.0,13809.0,52.34,2187.0,22.1824,9624.24586041454
rat_bench,dpmlm_shap,"{'epsilon': 10, 'k': 25}",,0.03844770696671948,0.0,0.2708335997179638,0.18032786885245902,0.27818857921799994,0.18032786885245902,0.24481545104177949,0.16393442622950818,0.7533333333333333,0.7436674871801423,0.7436674871801423,0.7533333333333333,300,0.82,0.8241774225946447,0.8241774225946447,0.82,300,0.13096446176369986,0.28438341081142426,37.3499,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.3434677071006696,8965.63,300.0,13809.0,52.34,2187.0,22.1824,11204.97
rat_bench,dpmlm_shap,"{'epsilon': 25, 'k': 2}",,0.3028499011679804,0.01639344262295082,0.680967528316884,0.6065573770491803,0.560676163931364,0.47540983606557374,0.5284847544673184,0.4426229508196721,0.94,0.939906313708852,0.939906313708852,0.94,300,0.9533333333333334,0.9539651837524178,0.9539651837524178,0.9533333333333334,300,0.05930308957894643,0.11974463870127995,15.514873579717207,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.0843351559945369,11494.41,300.0,13809.0,52.34,2187.0,22.1824,4654.462073915162
rat_bench,dpmlm_shap,"{'epsilon': 25, 'k': 3}",,0.22179343486561245,0.01639344262295082,0.6092994423045357,0.5245901639344263,0.5266066112689941,0.4262295081967213,0.4678310734115894,0.36065573770491804,0.9366666666666666,0.938456437717989,0.938456437717989,0.9366666666666666,300,0.94,0.9410347817708836,0.9410347817708836,0.94,300,0.06956145445505778,0.14040869782368343,19.168493147497486,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.12261006302984886,11494.41,300.0,13809.0,52.34,2187.0,22.1824,5750.547944249246
rat_bench,dpmlm_shap,"{'epsilon': 25, 'k': 5}",,0.1500395967183317,0.01639344262295082,0.551991649914776,0.4426229508196721,0.5042330013412929,0.39344262295081966,0.4271524325868239,0.32786885245901637,0.9566666666666667,0.95751893256401,0.95751893256401,0.9566666666666667,300,0.9333333333333333,0.9344135802469137,0.9344135802469137,0.9333333333333333,300,0.08182498852411905,0.16676959226528804,23.789369237664914,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.1710178404384601,11494.41,300.0,13809.0,52.34,2187.0,22.1824,7136.810771299474
rat_bench,dpmlm_shap,"{'epsilon': 25, 'k': 7}",,0.11630352404783278,0.01639344262295082,0.5066671689026176,0.39344262295081966,0.45721664369790116,0.3442622950819672,0.3735041116838126,0.2459016393442623,0.95,0.9500259699426811,0.9500259699426811,0.95,300,0.9233333333333333,0.9246900204646683,0.9246900204646683,0.9233333333333333,300,0.09372093081474304,0.18985181500514348,27.76850057487996,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.21270277210356262,11494.41,300.0,13809.0,52.34,2187.0,22.1824,8330.550172463987
rat_bench,dpmlm_shap,"{'epsilon': 25, 'k': 10}",,0.09340611180615825,0.01639344262295082,0.42625360145754176,0.29508196721311475,0.3806590303381379,0.2786885245901639,0.33993700432482793,0.2459016393442623,0.9033333333333333,0.905402197655382,0.905402197655382,0.9033333333333333,300,0.92,0.9215803981725722,0.9215803981725722,0.92,300,0.1047311810652415,0.21268369883298874,32.14555709443491,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.25855632315514465,11494.41,300.0,13809.0,52.34,2187.0,22.1824,9643.667128330473
rat_bench,dpmlm_shap,"{'epsilon': 25, 'k': 15}",,0.07562887920574862,0.01639344262295082,0.3656169095908676,0.22950819672131148,0.32118362107786697,0.2459016393442623,0.2537282534249714,0.14754098360655737,0.9,0.901499775270267,0.901499775270267,0.9,300,0.8966666666666666,0.8989534352327105,0.8989534352327105,0.8966666666666666,300,0.11801737447579702,0.23999178484082223,38.35593698506779,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.3236155633300482,11494.41,300.0,13809.0,52.34,2187.0,22.1824,11506.781095520337
rat_bench,dpmlm_shap,"{'epsilon': 25, 'k': 25}",,0.06810082736517328,0.01639344262295082,0.29668478642835383,0.16393442622950818,0.27233789107484413,0.21311475409836064,0.20831027665652505,0.11475409836065574,0.6833333333333333,0.6700211717744934,0.6700211717744934,0.6833333333333333,300,0.8633333333333333,0.8667419254601741,0.8667419254601741,0.8633333333333333,300,0.1346547496318817,0.2739936917026838,45.77916666666667,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.4013804812953803,11494.41,300.0,13809.0,52.34,2187.0,22.1824,13733.75
rat_bench,dpmlm_shap,"{'epsilon': 50, 'k': 2}",,0.29793186838109514,0.03278688524590164,0.6937644081219605,0.6229508196721312,0.5702514347451347,0.47540983606557374,0.5034605797594751,0.39344262295081966,0.78,0.7754954215679825,0.7754954215679825,0.78,300,0.9566666666666667,0.9569693577043834,0.9569693577043834,0.9566666666666667,300,0.06093752344449361,0.11731218993663788,23.48797787906515,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.10922601442957951,19395.21,300.0,13809.0,52.34,2187.0,22.1824,7046.393363719544
rat_bench,dpmlm_shap,"{'epsilon': 50, 'k': 3}",,0.2419209394193465,0.03278688524590164,0.650553588886551,0.5737704918032787,0.5450778504825234,0.45901639344262296,0.45182232321276905,0.32786885245901637,0.7466666666666667,0.6846857840146431,0.6846857840146431,0.7466666666666667,300,0.9433333333333334,0.9439583080838686,0.9439583080838686,0.9433333333333334,300,0.07148528556029002,0.13327557186285655,30.358399607334032,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.15605899459740538,19395.21,300.0,13809.0,52.34,2187.0,22.1824,9107.51988220021
rat_bench,dpmlm_shap,"{'epsilon': 50, 'k': 5}",,0.1969826809564979,0.06557377049180328,0.5782686212952085,0.47540983606557374,0.5147736974064303,0.4098360655737705,0.4254687592375832,0.3114754098360656,0.95,0.9496631875046265,0.9496631875046265,0.95,300,0.9333333333333333,0.9337231968810916,0.9337231968810916,0.9333333333333333,300,0.08234898050626119,0.15203305035829545,37.74174928896865,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.20638840418653748,19395.21,300.0,13809.0,52.34,2187.0,22.1824,11322.524786690594
rat_bench,dpmlm_shap,"{'epsilon': 50, 'k': 7}",,0.1650404883585676,0.06557377049180328,0.5375172837749724,0.4262295081967213,0.4651296443221685,0.3770491803278688,0.3956246350033278,0.2786885245901639,0.9133333333333333,0.912727993323679,0.912727993323679,0.9133333333333333,300,0.9333333333333333,0.933561309233024,0.933561309233024,0.9333333333333333,300,0.09581711033980052,0.17582282026608784,45.983582054301046,mode,mode,0.88,0.8734883720930232,0.8734883720930232,0.37,0.9733333333333334,0.9734245236932096,0.9734245236932096,0.37,0.2625697574879172,19395.21,300.0,13809.0,52.34,2187.0,22.1824,13795.074616290314
