method,params,split,P_full,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},,0.795223192108438,0.7213114754098361,0.88,,0.9733333333333334,,0.0,0.0,,0.0
dummy,{},,0.02094221293433168,0.0033333333333333335,0.37,,0.37,,1.0,1.0,,
presidio,{},,0.5460193000750843,0.47540983606557374,1.0,,0.96,,0.03321937163670858,0.07060565233230591,,0.1744666666666667
dpmlm_shap,"{'epsilon': 10, 'k': 2}",,0.2862020775388114,0.0,0.9466666666666667,,0.9366666666666666,,0.059419993758201596,0.12119398832321167,0.07868851677542228,14.311225105885827
dpmlm_shap,"{'epsilon': 10, 'k': 3}",,0.20490550525863255,0.0,0.9633333333333334,,0.9166666666666666,,0.06883943617343903,0.14243398288885753,0.11130229462099375,17.148979175342767
dpmlm_shap,"{'epsilon': 10, 'k': 5}",,0.13927969209183577,0.0,0.9666666666666667,,0.9166666666666666,,0.08084442893664043,0.16915318101644516,0.1509305466862072,20.597068939613816
dpmlm_shap,"{'epsilon': 10, 'k': 7}",,0.1036440617840743,0.0,0.8233333333333334,,0.9166666666666666,,0.09240156133969625,0.1938230871160825,0.18923091000355882,23.929617912631738
dpmlm_shap,"{'epsilon': 10, 'k': 10}",,0.07735674781341263,0.0,0.79,,0.89,,0.10514675319194794,0.2230324931939443,0.23675127593820347,28.0644075850104
dpmlm_shap,"{'epsilon': 10, 'k': 15}",,0.05553644371598068,0.0,0.8266666666666667,,0.8433333333333334,,0.11697906394799551,0.25023382633924485,0.28291114880168816,32.08081953471513
dpmlm_shap,"{'epsilon': 25, 'k': 2}",,0.3028499011679804,0.01639344262295082,0.9366666666666666,,0.9533333333333334,,0.05930308957894643,0.11974463870127995,0.0843351559945369,15.514873579717207
dpmlm_shap,"{'epsilon': 25, 'k': 3}",,0.22179343486561245,0.01639344262295082,0.9233333333333333,,0.94,,0.06956145445505778,0.14040869782368343,0.12261006302984886,19.168493147497486
dpmlm_shap,"{'epsilon': 25, 'k': 5}",,0.1500395967183317,0.01639344262295082,0.9566666666666667,,0.9333333333333333,,0.08182498852411905,0.16676959226528804,0.1710178404384601,23.789369237664914
dpmlm_shap,"{'epsilon': 25, 'k': 7}",,0.11630352404783278,0.01639344262295082,0.9433333333333334,,0.9233333333333333,,0.09372093081474304,0.18985181500514348,0.21270277210356262,27.76850057487996
dpmlm_shap,"{'epsilon': 25, 'k': 10}",,0.09340611180615825,0.01639344262295082,0.9033333333333333,,0.92,,0.1047311810652415,0.21268369883298874,0.25855632315514465,32.14555709443491
dpmlm_shap,"{'epsilon': 25, 'k': 15}",,0.07562887920574862,0.01639344262295082,0.9,,0.8966666666666666,,0.11801737447579702,0.23999178484082223,0.3236155633300482,38.35593698506779
dpmlm_shap,"{'epsilon': 50, 'k': 2}",,0.29793186838109514,0.03278688524590164,0.78,,0.9566666666666667,,0.06093752344449361,0.11731218993663788,0.10922601442957951,23.48797787906515
dpmlm_shap,"{'epsilon': 50, 'k': 3}",,0.2419209394193465,0.03278688524590164,0.7433333333333333,,0.9433333333333334,,0.07148528556029002,0.13327557186285655,0.15605899459740538,30.358399607334032
dpmlm_shap,"{'epsilon': 50, 'k': 5}",,0.1969826809564979,0.06557377049180328,0.95,,0.9333333333333333,,0.08234898050626119,0.15203305035829545,0.20638840418653748,37.74174928896865
dpmlm_shap,"{'epsilon': 50, 'k': 7}",,0.1650404883585676,0.06557377049180328,0.9166666666666666,,0.9333333333333333,,0.09581711033980052,0.17582282026608784,0.2625697574879172,45.983582054301046
dpmlm_shap,"{'epsilon': 50, 'k': 10}",,0.158088833456093,0.06557377049180328,0.9033333333333333,,0.9266666666666666,,0.10570901930332184,0.19252720683813096,0.3103775280409938,52.99700602200322
dpmlm_shap,"{'epsilon': 50, 'k': 15}",,0.14458443829281342,0.06557377049180328,0.8333333333333334,,0.9133333333333333,,0.11574211279551189,0.2098842962582906,0.3660275781270703,61.16089633862454
dpmlm_shap,"{'epsilon': 100, 'k': 2}",,0.32948924543027547,0.09836065573770492,0.8866666666666667,,0.95,,0.06287482698758443,0.11155014127492904,0.13406476048346175,18.675922205423717
dpmlm_shap,"{'epsilon': 100, 'k': 3}",,0.27539088477453777,0.09836065573770492,0.7233333333333334,,0.9466666666666667,,0.07167357087135315,0.12349315573771795,0.17604549179479906,22.186651653522233
dpmlm_shap,"{'epsilon': 100, 'k': 5}",,0.24352210019727139,0.11475409836065574,0.9633333333333334,,0.9366666666666666,,0.08490254521369935,0.1438478241364161,0.2418749401506526,27.69178164235029
dpmlm_shap,"{'epsilon': 100, 'k': 7}",,0.21952392169089613,0.11475409836065574,0.9466666666666667,,0.9333333333333333,,0.09592491587003073,0.15984810441732406,0.28860507219769105,31.59968999855287
dpmlm_shap,"{'epsilon': 100, 'k': 10}",,0.2147884022012783,0.11475409836065574,0.92,,0.9233333333333333,,0.10473646620909373,0.17423002898693085,0.34062352413448,35.949845542643246
dpmlm_shap,"{'epsilon': 100, 'k': 15}",,0.20742554692846008,0.11475409836065574,0.9033333333333333,,0.9166666666666666,,0.11708180685838064,0.1957948770125707,0.4007282715220606,40.976235032125906
dpmlm_shap,"{'epsilon': 250, 'k': 2}",,0.33290454597672353,0.08196721311475409,0.9566666666666667,,0.9433333333333334,,0.06303510109583536,0.10868798474470774,0.1424806813577368,20.13564523264971
dpmlm_shap,"{'epsilon': 250, 'k': 3}",,0.30294097584921903,0.13114754098360656,0.9533333333333334,,0.93,,0.07426877597967783,0.12219065805276234,0.20067521940953076,25.31103726609843
dpmlm_shap,"{'epsilon': 250, 'k': 5}",,0.25433679433341955,0.13114754098360656,0.8966666666666666,,0.9233333333333333,,0.08540439744790396,0.13943092226982118,0.2618116303142435,30.748057724415204
dpmlm_shap,"{'epsilon': 250, 'k': 7}",,0.2338514963891052,0.13114754098360656,0.9466666666666667,,0.9233333333333333,,0.09445065359274546,0.1521007349093755,0.30215032523604635,34.3354830623775
dpmlm_shap,"{'epsilon': 250, 'k': 10}",,0.22983179113989174,0.13114754098360656,0.9133333333333333,,0.9233333333333333,,0.1040795471270879,0.16471525450547536,0.35610105443754747,39.133462107415916
dpmlm_shap,"{'epsilon': 250, 'k': 15}",,0.22599338032013552,0.13114754098360656,0.7533333333333333,,0.9166666666666666,,0.11410349826018015,0.17949862370888392,0.4128750549592821,44.18252203372185
dpmlm_shap,{'epsilon': 10},,0.01990527096802665,0.0,0.37333333333333335,,0.32,,0.2714907409747442,0.652714292233189,0.9657532265056479,95.54599999999999
dpmlm_shap,{'epsilon': 25},,0.06631024878695801,0.01639344262295082,0.6033333333333334,,0.4633333333333333,,0.2406960944334666,0.5133247414728006,0.9245959529956193,41.910700000000006
dpmlm_shap,{'epsilon': 50},,0.2004626938332692,0.14754098360655737,0.6333333333333333,,0.6966666666666667,,0.2137554649511973,0.4005945599079132,0.8679132126903681,85.19906666666667
dpmlm_shap,{'epsilon': 100},,0.21122422433891697,0.14754098360655737,0.6733333333333333,,0.7266666666666667,,0.1966056078672409,0.3378572365641594,0.8248541409296112,48.9227
dpmlm_shap,{'epsilon': 250},,0.2807011286091639,0.18032786885245902,0.8,,0.77,,0.18160365223884584,0.2858172531922658,0.7878345602441296,50.75736666666667
