method,params,split,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
baseline,{},,0.795223192108438,0.7213114754098361,0.88,0.9733333333333334,0.0,0.0,0.0,0.0,0.0
dummy,{},,0.02094221293433168,0.0033333333333333335,0.37,0.37,1.0,1.0,,0.0,0.39411953266548694
presidio,{},,0.5460193000750843,0.47540983606557374,1.0,0.96,0.05191251198450725,0.05191251198450725,0.1744666666666667,0.55714613098099,0.4497396728102343
spacy,{},,0.4774445496889519,0.3770491803278688,0.9933333333333333,0.9433333333333334,0.05281846443812052,0.05281846443812052,0.194,0.6326399529515079,0.5283972533295523
manual,{},,0.7678620262733088,0.6885245901639344,0.9766666666666667,0.97,1.0827183723449709e-06,1.0827183723449709e-06,,0.224879998814273,0.14425538608910937
dpbart,{'epsilon': 10},,0.022751999216695573,0.0,0.40604026845637586,0.33557046979865773,0.5860432080296337,0.5860432080296337,2.7556333333333334,0.06832981640029258,0.43279856137667916
dpbart,{'epsilon': 25},,0.0468284865667711,0.01639344262295082,0.37373737373737376,0.31986531986531985,0.58497593961954,0.58497593961954,2.576233333333333,-0.026104477378119082,0.36581433665891344
dpbart,{'epsilon': 50},,0.019975197741538105,0.0,0.36666666666666664,0.33666666666666667,0.5420589501829818,0.5420589501829818,2.7768333333333333,-0.005287027464080265,0.39154768379523364
dpbart,{'epsilon': 100},,0.07075913271007327,0.03278688524590164,0.47333333333333333,0.3933333333333333,0.38721105381846427,0.38721105381846427,3.3838333333333335,0.1382747903366046,0.44889857023389745
dpbart,{'epsilon': 250},,0.10501613487719831,0.04918032786885246,0.63,0.4266666666666667,0.36544023871421816,0.36544023871421816,3.351466666666667,0.4012207015177554,0.5838503985578772
dpparaphrase,{'epsilon': 10},,0.013872423875849048,0.0,0.37,0.31,0.5443873608857394,0.5443873608857394,18.0841,0.009130779715167077,0.403009853180081
dpparaphrase,{'epsilon': 25},,0.015182227906861951,0.0,0.36333333333333334,0.31,0.5423926252188782,0.5423926252188782,17.578133333333334,-0.005632754877158822,0.3937870057759444
dpparaphrase,{'epsilon': 50},,0.013786681691160145,0.0,0.36333333333333334,0.30666666666666664,0.5381522764607023,0.5381522764607023,18.19663333333333,-0.003830377893559951,0.3955419171386295
dpparaphrase,{'epsilon': 100},,0.013554478428506149,0.0,0.37,0.31,0.5339157301032295,0.5339157301032295,16.524099999999997,0.009541412877926723,0.40340967231324776
dpparaphrase,{'epsilon': 250},,0.11789046364001393,0.04918032786885246,0.4,0.3933333333333333,0.46675857568780577,0.46675857568780577,17.227666666666668,-0.06638715419445396,0.30629718310427384
dpprompt,{'epsilon': 10},,0.014887938324005496,0.0,0.35,0.32,0.5459759199960779,0.5459759199960779,21.074666666666666,-0.031396464605414946,0.37900556230465293
dpprompt,{'epsilon': 25},,0.029929635040598847,0.01639344262295082,0.3333333333333333,0.33666666666666667,0.5447451403643936,0.5447451403643936,8.9849,-0.08350286754538862,0.3411511054422171
dpprompt,{'epsilon': 50},,0.10575893808320853,0.06557377049180328,0.5284280936454849,0.4949832775919733,0.5389511681015425,0.5389511681015425,0.37126666666666663,0.2011007550218276,0.46749369628360665
dpprompt,{'epsilon': 100},,0.1592083973334774,0.08196721311475409,0.6866666666666666,0.57,0.5113100151810794,0.5113100151810794,0.3040333333333333,0.4423413777429628,0.5800971020637449
dpprompt,{'epsilon': 250},,0.1744968703175034,0.08196721311475409,0.69,0.5666666666666667,0.51834694145713,0.51834694145713,0.6617999999999999,0.42913194439186375,0.564659594650939
dpmlm_uniform,{'epsilon': 10},,0.016568671347990414,0.0,0.37,0.30666666666666664,0.48219670956333477,0.48219670956333477,48.044066666666666,0.005648519986899771,0.39961929880629243
dpmlm_uniform,{'epsilon': 25},,0.09116673250304012,0.0,0.45,0.44,0.3008760847647985,0.3008760847647985,80.82516666666666,0.0661663164661309,0.3967206865506127
dpmlm_uniform,{'epsilon': 50},,0.528292389956415,0.4098360655737705,0.65,0.7666666666666667,0.18436871985594433,0.18436871985594433,82.02766666666666,-0.10623370544792787,0.0743041419418331
dpmlm_uniform,{'epsilon': 100},,0.5955288197629129,0.47540983606557374,0.81,0.8033333333333333,0.1668958317240079,0.1668958317240079,96.47033333333333,0.12065453623635547,0.1715719352983447
dpmlm_uniform,{'epsilon': 250},,0.5809427743614923,0.45901639344262296,0.88,0.8033333333333333,0.16185194412867226,0.16185194412867226,78.3078,0.2767476194178369,0.2694594673211266
dpmlm_shap,{'epsilon': 10},,0.01990527096802665,0.0,0.37333333333333335,0.32,0.4621025166039666,0.4621025166039666,95.54599999999999,0.007875179844158284,0.39921137488978875
dpmlm_shap,"{'epsilon': 10, 'k': 2}",,0.2862020775388114,0.0,0.9466666666666667,0.9366666666666666,0.09030699104070664,0.09030699104070664,14.311225105885827,0.788130318159925,0.7158560029928513
dpmlm_shap,"{'epsilon': 10, 'k': 3}",,0.20490550525863255,0.0,0.9633333333333334,0.9166666666666666,0.10563670953114829,0.10563670953114829,17.148979175342767,0.9258062718775206,0.8370265354188264
dpmlm_shap,"{'epsilon': 10, 'k': 5}",,0.13927969209183577,0.0,0.9666666666666667,0.9166666666666666,0.1249988049765428,0.1249988049765428,20.597068939613816,1.0170993231891996,0.9233394383987158
dpmlm_shap,"{'epsilon': 10, 'k': 7}",,0.1036440617840743,0.0,0.8233333333333334,0.9166666666666666,0.1431123242278894,0.1431123242278894,23.929617912631738,0.7820777297952518,0.80527276196411
dpmlm_shap,"{'epsilon': 10, 'k': 10}",,0.07735674781341263,0.0,0.79,0.89,0.16408962319294612,0.16408962319294612,28.0644075850104,0.750668865791775,0.8004504973752983
dpmlm_shap,"{'epsilon': 10, 'k': 15}",,0.05553644371598068,0.0,0.8266666666666667,0.8433333333333334,0.18360644514362018,0.18360644514362018,32.08081953471513,0.8507456675242762,0.8695563840168979
dpmlm_shap,"{'epsilon': 10, 'k': 25}",,0.03844770696671948,0.0,0.7333333333333333,0.82,0.20767393628756206,0.20767393628756206,37.3499,0.6898095907624384,0.7849850113172461
dpmlm_shap,{'epsilon': 25},,0.06631024878695801,0.01639344262295082,0.6033333333333334,0.4633333333333333,0.3770104179531336,0.3770104179531336,41.910700000000006,0.39892257730388975,0.6022203527381293
dpmlm_shap,"{'epsilon': 25, 'k': 2}",,0.3028499011679804,0.01639344262295082,0.9366666666666666,0.9533333333333334,0.0895238641401132,0.0895238641401132,15.514873579717207,0.7470214643082824,0.6835575853069685
dpmlm_shap,"{'epsilon': 25, 'k': 3}",,0.22179343486561245,0.01639344262295082,0.9233333333333333,0.94,0.10498507613937061,0.10498507613937061,19.168493147497486,0.8255637867463559,0.7703352733109304
dpmlm_shap,"{'epsilon': 25, 'k': 5}",,0.1500395967183317,0.01639344262295082,0.9566666666666667,0.9333333333333333,0.12429729039470355,0.12429729039470355,23.789369237664914,0.983594839276947,0.8984451294726166
dpmlm_shap,"{'epsilon': 25, 'k': 7}",,0.11630352404783278,0.01639344262295082,0.9433333333333334,0.9233333333333333,0.14178637290994325,0.14178637290994325,27.76850057487996,1.001021888442592,0.9257170157073862
dpmlm_shap,"{'epsilon': 25, 'k': 10}",,0.09340611180615825,0.01639344262295082,0.9033333333333333,0.92,0.15870743994911513,0.15870743994911513,32.14555709443491,0.9521630003760123,0.9090561629782312
dpmlm_shap,"{'epsilon': 25, 'k': 15}",,0.07562887920574862,0.01639344262295082,0.9,0.8966666666666666,0.17900457965830963,0.17900457965830963,38.35593698506779,0.968586718571146,0.9276233070025963
dpmlm_shap,"{'epsilon': 25, 'k': 25}",,0.06810082736517328,0.01639344262295082,0.6866666666666666,0.8633333333333333,0.20432422066728273,0.20432422066728273,45.77916666666667,0.5600087006126074,0.6946656544807631
dpmlm_shap,{'epsilon': 50},,0.2004626938332692,0.14754098360655737,0.6333333333333333,0.6966666666666667,0.30717501242955525,0.30717501242955525,85.19906666666667,0.28448543177384433,0.4676134089776618
dpmlm_shap,"{'epsilon': 50, 'k': 2}",,0.29793186838109514,0.03278688524590164,0.78,0.9566666666666667,0.08912485669056575,0.08912485669056575,23.48797787906515,0.4461836635297216,0.511711750782728
dpmlm_shap,"{'epsilon': 50, 'k': 3}",,0.2419209394193465,0.03278688524590164,0.7433333333333333,0.9433333333333334,0.10238042871157328,0.10238042871157328,30.358399607334032,0.4466275192234171,0.5404793087684416
dpmlm_shap,"{'epsilon': 50, 'k': 5}",,0.1969826809564979,0.06557377049180328,0.95,0.9333333333333333,0.11719101543227832,0.11719101543227832,37.74174928896865,0.9098949735147293,0.8318380399336873
dpmlm_shap,"{'epsilon': 50, 'k': 7}",,0.1650404883585676,0.06557377049180328,0.9166666666666666,0.9333333333333333,0.13581996530294418,0.13581996530294418,45.983582054301046,0.8857895029554521,0.8341268338293184
dpmlm_shap,"{'epsilon': 50, 'k': 10}",,0.158088833456093,0.06557377049180328,0.9033333333333333,0.9266666666666666,0.1491181130707264,0.1491181130707264,52.99700602200322,0.8686239190996918,0.8277170844757087
dpmlm_shap,"{'epsilon': 50, 'k': 15}",,0.14458443829281342,0.06557377049180328,0.8333333333333334,0.9133333333333333,0.16281320452690123,0.16281320452690123,61.16089633862454,0.7488102245642587,0.765153522935002
dpmlm_shap,"{'epsilon': 50, 'k': 25}",,0.13389262213401515,0.06557377049180328,0.9066666666666666,0.89,0.18355308137834073,0.18355308137834073,72.11516666666667,0.9064097773392765,0.8619319069973642
dpmlm_shap,{'epsilon': 100},,0.21122422433891697,0.14754098360655737,0.6733333333333333,0.7266666666666667,0.2672314222157002,0.2672314222157002,48.9227,0.3490180636911018,0.4995352373127344
dpmlm_shap,"{'epsilon': 100, 'k': 2}",,0.32948924543027547,0.09836065573770492,0.8866666666666667,0.95,0.08721248413125673,0.08721248413125673,18.675922205423717,0.6145769810527206,0.5932401990809473
dpmlm_shap,"{'epsilon': 100, 'k': 3}",,0.27539088477453777,0.09836065573770492,0.7233333333333334,0.9466666666666667,0.09758336330453554,0.09758336330453554,22.186651653522233,0.3641847019003154,0.47566329204157587
dpmlm_shap,"{'epsilon': 100, 'k': 5}",,0.24352210019727139,0.11475409836065574,0.9633333333333334,0.9366666666666666,0.11437518467505772,0.11437518467505772,27.69178164235029,0.8759321357727832,0.7884658353262504
dpmlm_shap,"{'epsilon': 100, 'k': 7}",,0.21952392169089613,0.11475409836065574,0.9466666666666667,0.9333333333333333,0.12788651014367738,0.12788651014367738,31.59968999855287,0.874246544234648,0.7997043571525511
dpmlm_shap,"{'epsilon': 100, 'k': 10}",,0.2147884022012783,0.11475409836065574,0.92,0.9233333333333333,0.13948324759801228,0.13948324759801228,35.949845542643246,0.8280749845182633,0.7753562833153429
dpmlm_shap,"{'epsilon': 100, 'k': 15}",,0.20742554692846008,0.11475409836065574,0.9033333333333333,0.9166666666666666,0.15643834193547568,0.15643834193547568,40.976235032125906,0.8049045267868489,0.7656757431743355
dpmlm_shap,"{'epsilon': 100, 'k': 25}",,0.2034918042109079,0.11475409836065574,0.84,0.9066666666666666,0.1709304302930832,0.1709304302930832,46.081966666666666,0.685802030845063,0.6986527614873281
dpmlm_shap,{'epsilon': 250},,0.2807011286091639,0.18032786885245902,0.8,0.77,0.23371045271555582,0.23371045271555582,50.75736666666667,0.507653208849446,0.5561068268926538
dpmlm_shap,"{'epsilon': 250, 'k': 2}",,0.33290454597672353,0.08196721311475409,0.9566666666666667,0.9433333333333334,0.08586154292027155,0.08586154292027155,20.13564523264971,0.7474209512738523,0.668490883830525
dpmlm_shap,"{'epsilon': 250, 'k': 3}",,0.30294097584921903,0.13114754098360656,0.9533333333333334,0.93,0.09822971701622009,0.09822971701622009,25.31103726609843,0.7795835780239834,0.7023824520518056
dpmlm_shap,"{'epsilon': 250, 'k': 5}",,0.25433679433341955,0.13114754098360656,0.8966666666666666,0.9233333333333333,0.11241765985886257,0.11241765985886257,30.748057724415204,0.7312457789573491,0.6991086887268404
dpmlm_shap,"{'epsilon': 250, 'k': 7}",,0.2338514963891052,0.13114754098360656,0.9466666666666667,0.9233333333333333,0.12327569425106048,0.12327569425106048,34.3354830623775,0.8557421833067951,0.7816873088063865
dpmlm_shap,"{'epsilon': 250, 'k': 10}",,0.22983179113989174,0.13114754098360656,0.9133333333333333,0.9233333333333333,0.13439740081628163,0.13439740081628163,39.133462107415916,0.7955742391755846,0.7488633348328064
