mode,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
strict,0.819664563779043,0.7002760615222821,0.7552814405217637,0.6965604619020153,0.6192681087206161,0.6486318004028772
exact,0.8352054162178797,0.713553306165374,0.7696015879767476,0.7356813418676177,0.6371306722678366,0.6711332456752308
partial,0.9030620095399292,0.7715262258446168,0.832128172408904,0.8445407936248961,0.7018345724722872,0.7474210784055427
type,,,,,,
