entity,strict_precision,strict_recall,strict_f1,exact_precision,exact_recall,exact_f1,partial_precision,partial_recall,partial_f1,type_precision,type_recall,type_f1,support
CODE,0.9498432601880877,0.9154078549848943,0.9323076923076924,0.9623824451410659,0.9274924471299094,0.9446153846153847,0.9796238244514106,0.9441087613293051,0.9615384615384615,,,,331
DATETIME,0.9092111062141913,0.8934603724556085,0.9012669287898646,0.9109739973556633,0.895192724122997,0.9030144167758847,0.9486557955046276,0.9322217410134257,0.9403669724770641,,,,2309
DEM,0.48476454293628807,0.28,0.35496957403651114,0.554016620498615,0.32,0.4056795131845842,0.7562326869806094,0.4368,0.5537525354969574,,,,625
LOC,0.7896613190730838,0.7967625899280576,0.7931960608773501,0.8235294117647058,0.8309352517985612,0.8272157564905999,0.8885918003565062,0.8965827338129496,0.892569382273948,,,,556
MISC,0.12686567164179105,0.028523489932885907,0.04657534246575342,0.30597014925373134,0.06879194630872483,0.11232876712328768,0.5895522388059702,0.1325503355704698,0.21643835616438356,,,,596
ORG,0.7812872467222884,0.6702453987730062,0.7215189873417722,0.7938021454112039,0.6809815950920245,0.733076499724821,0.8772348033373063,0.7525562372188139,0.8101265822784811,,,,1956
PERSON,0.8979391560353287,0.8935546875,0.895741556534508,0.9018645731108931,0.8974609375,0.899657366617719,0.9411187438665358,0.9365234375,0.9388154674498287,,,,1024
QUANTITY,0.6329113924050633,0.47619047619047616,0.5434782608695653,0.6329113924050633,0.47619047619047616,0.5434782608695653,0.7753164556962026,0.5833333333333334,0.6657608695652174,,,,210
