method,params,split,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
baseline,{},,0.8809658624247776,0.8472690913635796,0.9881703470031545,0.9929022082018928,0.0,0.0,0.0,0.0,0.0
dummy,{},,0.03050962703510444,0.005512225009728673,0.32965299684542587,0.32965299684542587,1.0,1.0,,0.0,0.29896734190884977
presidio,{},,0.7642301754735076,0.6813523309586301,0.9511041009463722,0.9652996845425867,0.07456622061199195,0.07456622061199195,0.10097003154574133,0.00728434601431734,0.09499877590480554
dpmlm_uniform,{'epsilon': 10},,0.0370270452966107,0.010519518393534141,0.32965299684542587,0.1719242902208202,0.4728745842464151,0.4728745842464151,77.84388012618297,-0.028710593131998075,0.2915693046641742
dpmlm_uniform,{'epsilon': 25},,0.13967634172470492,0.07103278756822064,0.5583596214511041,0.5520504731861199,0.25290162528773963,0.25290162528773963,87.89133280757099,0.488172127504362,0.40649479793725946
dpmlm_uniform,{'epsilon': 50},,0.48785726990771844,0.3813898262717161,0.8974763406940063,0.8730283911671924,0.16326783978224552,0.16326783978224552,79.51164037854889,0.38293612952878114,0.35444481793342153
dpmlm_uniform,{'epsilon': 100},,0.5146742882831791,0.41028204807732366,0.9463722397476341,0.9148264984227129,0.14795967334828541,0.14795967334828541,42.32592271293375,0.37092693536870563,0.37348558900733453
dpmlm_uniform,{'epsilon': 250},,0.5573764654999299,0.47085780944048655,0.9282334384858044,0.9250788643533123,0.1428598391379844,0.1428598391379844,82.91686119873818,0.34087883062114344,0.30665764335280277
dpmlm_shap,{'epsilon': 10},,0.03375217028357909,0.007894846477523643,0.32965299684542587,0.20110410094637224,0.44709996659343926,0.44709996659343926,64.79357255520505,0.08491411862200698,0.29528667346665854
dpmlm_shap,{'epsilon': 25},,0.06578783366091388,0.021039036787068283,0.41719242902208203,0.3785488958990536,0.3057446939641557,0.3057446939641557,48.119921135646685,0.422662090267178,0.3475098131458329
dpmlm_shap,{'epsilon': 50},,0.17052142226250652,0.09465483481231513,0.6159305993690851,0.580441640378549,0.23931018883003985,0.23931018883003985,35.18143533123028,0.44636424619938736,0.42974217466245845
dpmlm_shap,{'epsilon': 100},,0.23031600040796776,0.14202391367745698,0.7815457413249212,0.6884858044164038,0.20850126274306127,0.20850126274306127,82.54158517350157,0.4933428839883553,0.5294660521760827
dpmlm_shap,{'epsilon': 250},,0.3034039818508418,0.21032787568220637,0.8343848580441641,0.749211356466877,0.1898117669878604,0.1898117669878604,46.87332807570978,0.4319612823429749,0.49997425409520824
