method,params,split,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
baseline,{},,0.9858786610878661,0.9776847977684797,0.9793303017775941,0.9731293923108723,0.0,0.0,0.0,0.0,0.0
dummy,{},,0.01804513284589095,0.0029271982670894003,0.054981397271599834,0.054981397271599834,1.0,1.0,,0.0,0.037838227751878485
presidio,{},,0.701819670428745,0.6220362622036263,0.9727159983464242,0.972302604381976,0.1707193464866203,0.1707193464866203,0.04459694088466308,0.23221176663553292,0.28137383552635054
petre_shap,{'k': 2},,0.5634335884232387,0.4114365411436541,0.9586606035551881,0.9508061182306738,0.2505318582896875,0.2505318582896875,3.4307852329213433,0.33454086742137434,0.40739005816653995
petre_shap,{'k': 3},,0.5128118590060678,0.37517433751743373,0.9520463001240181,0.9421248449772633,0.2709710904506893,0.2709710904506893,3.552475102782801,0.3742037627187547,0.45198296876206334
petre_shap,{'k': 5},,0.46120724888468984,0.33612273361227335,0.9458453906572964,0.9330301777594047,0.29556789028921454,0.29556789028921454,3.6442000122389215,0.41346047846152806,0.49799495749671735
petre_shap,{'k': 7},,0.4285121954726212,0.30404463040446306,0.9284828441504754,0.9206283588259612,0.3115341544654505,0.3115341544654505,3.682143699636741,0.43119003887199225,0.5134293224407861
petre_shap,{'k': 10},,0.39024519886976444,0.2622036262203626,0.9148408433236874,0.9148408433236874,0.3271107052142165,0.3271107052142165,3.7360257174279776,0.4583776182036498,0.538314512240631
dpmlm_shap,"{'epsilon': 10, 'k': 2}",,0.5622608422424155,0.401673640167364,0.9553534518396032,0.9623811492352211,0.1933853143672896,0.1933853143672896,3.447268526150624,0.35801381921921543,0.40520265000272004
dpmlm_shap,"{'epsilon': 10, 'k': 3}",,0.5096136216652073,0.36262203626220363,0.9561802397684994,0.9565936337329475,0.20122934386916475,0.20122934386916475,3.690210458780756,0.4077537523309056,0.45944820677473897
