dataset,method,params,split,privacy_exact_mean_reciprocal_rank,privacy_exact_accuracy,privacy_full_mean_reciprocal_rank,privacy_full_accuracy,privacy_more_mean_reciprocal_rank,privacy_more_accuracy,utility_label_acc,utility_label_macro_f1,utility_label_f1,utility_utility_nominal_raw_acc,utility__utility_nominal_raw_count,pseudo_utility_label_acc,pseudo_utility_label_macro_f1,pseudo_utility_label_f1,pseudo_utility_utility_nominal_raw_acc,pseudo_utility__utility_nominal_raw_count,divergence_bertscore,divergence_cosine,runtime_avg_anon_time_s,utility_label_dummy_strategy,pseudo_utility_label_dummy_strategy,utility_label_baseline_acc,utility_label_baseline_macro_f1,utility_label_baseline_f1,utility_label_dummy_acc,pseudo_utility_label_baseline_acc,pseudo_utility_label_baseline_macro_f1,pseudo_utility_label_baseline_f1,pseudo_utility_label_dummy_acc,divergence_pp,runtime_anon_total_time_s,runtime_anon_texts_processed,runtime_bk_gen_total_time_s,runtime_deid_total_time_s,runtime_risk_total_time_s,runtime_train_total_time_s,runtime_real_anon_total_time_s
db_bio,baseline,{},,0.9745467224546723,0.9581589958158996,0.9862273361227336,0.9790794979079498,0.9968619246861925,0.99581589958159,0.9793303017775941,0.9794255899444719,0.9794255899444719,0.9793303017775941,2419.0,0.9731293923108723,0.9722031519983906,0.9722031519983906,0.9731293923108723,2419.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
db_bio,baseline,{},test,0.9745467224546723,0.9581589958158996,,,0.9968619246861925,0.99581589958159,,,,,,0.9731293923108723,0.9722031519983906,0.9722031519983906,0.9731293923108723,2419.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
db_bio,dummy,{},,0.02533794898808972,0.0041841004184100415,0.0034595005614934146,0.00041339396444811904,0.02533794898808972,0.0041841004184100415,0.054981397271599834,,,0.054981397271599834,2419.0,0.054981397271599834,,,0.054981397271599834,2419.0,1.0,1.0,,mode,mode,,,,,,,,,,,,,,,,
db_bio,dummy,{},test,0.02533794898808972,0.0041841004184100415,0.0034595005614934146,0.00041339396444811904,0.02533794898808972,0.0041841004184100415,,,,,,0.054981397271599834,,,0.054981397271599834,2419.0,1.0,1.0,,,mode,,,,,,,,,,,,,,,,
db_bio,presidio,{},,0.8300033611152599,0.7447698744769874,0.5411162162283775,0.4560669456066946,0.7343394339425978,0.6652719665271967,0.9727159983464242,0.9726548132090033,0.9726548132090033,0.9727159983464242,2419.0,0.972302604381976,0.972320986089157,0.972320986089157,0.972302604381976,2419.0,0.09998730250063294,0.24145139047260766,0.04459694088466308,mode,mode,0.9793303017775941,0.9794255899444719,0.9794255899444719,0.054981397271599834,0.9731293923108723,0.9722031519983906,0.9722031519983906,0.054981397271599834,0.0,107.88,2419.0,0.0,0.0,0.0,0.0,107.88
db_bio,presidio,{},test,0.8300033611152599,0.7447698744769874,,,0.7343394339425978,0.6652719665271967,,,,,,0.9832635983263598,0.9842998891274753,0.9842998891274753,0.9832635983263599,2419.0,,,,,mode,,,,,0.9731293923108723,0.9722031519983906,0.9722031519983906,0.054981397271599834,,,,,,,,
db_bio,spacy,{},,0.6271130766640833,0.5146443514644351,0.16488477692976408,0.12552301255230125,0.31925031065642484,0.2384937238493724,0.9677552707730467,0.9664856240104623,0.9664856240104623,0.9677552707730467,2419.0,0.9681686647374949,0.9674368624515898,0.9674368624515898,0.9681686647374949,2419.0,0.13664573822794202,0.33902952602304864,0.03268706076891277,mode,mode,0.9793303017775941,0.9794255899444719,0.9794255899444719,0.054981397271599834,0.9731293923108723,0.9722031519983906,0.9722031519983906,0.054981397271599834,0.0,79.07,2419.0,0.0,0.0,0.0,0.0,79.07
db_bio,dpbart,{'epsilon': 10},,0.023672320953295817,0.0041841004184100415,0.002887477424268231,0.0,0.02188197736031689,0.0,0.07341352136043136,0.0371094575723182,0.0371094575723182,0.07341352136043136,2419.0,0.04852758191621734,0.018730539952421858,0.018730539952421858,0.04852758191621734,2419.0,0.2885285934339861,0.755603827702593,1.6741794129805705,mode,mode,0.9793303017775941,0.9794255899444719,0.9794255899444719,0.054981397271599834,0.9731293923108723,0.9722031519983906,0.9722031519983906,0.054981397271599834,,4049.84,2419.0,0.0,0.0,0.0,0.0,4049.84
db_bio,dpbart,{'epsilon': 25},,0.023643785090776102,0.0041841004184100415,0.003341862091634532,0.0,0.03067613681480749,0.008368200836820083,0.07335267302113552,0.03756001178398757,0.03756001178398757,0.07335267302113552,2419.0,0.0534604227103191,0.019278078749142932,0.019278078749142932,0.053460422710319096,2419.0,0.2840794683787223,0.7370712468168057,1.6190615957007028,mode,mode,0.9793303017775941,0.9794255899444719,0.9794255899444719,0.054981397271599834,0.9731293923108723,0.9722031519983906,0.9722031519983906,0.054981397271599834,,3916.51,2419.0,0.0,0.0,0.0,0.0,3916.51
db_bio,dpbart,{'epsilon': 50},,0.034141646583719244,0.008368200836820083,0.005213326084333122,0.0,0.03942280957652216,0.012552301255230125,0.09283050145047658,0.04194540439540439,0.04194540439540439,0.09283050145047658,2419.0,0.08122668876916701,0.04648600592393872,0.04648600592393872,0.08122668876916701,2419.0,0.27242828094756705,0.6709825664436792,1.5112236461347666,mode,mode,0.9793303017775941,0.9794255899444719,0.9794255899444719,0.054981397271599834,0.9731293923108723,0.9722031519983906,0.9722031519983906,0.054981397271599834,,3655.65,2419.0,0.0,0.0,0.0,0.0,3655.65
